LATITUDE,LONGITUDE,FID,HFNAME,DISTRICT,VDC,WARD,TYPE
27.68,84.43,new+AF8-HF.690,Maulakalika Hospital,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.45,84.32,new+AF8-HF.691,Aasha Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.68,84.43,new+AF8-HF.692,Baghauda PHC,chitwan,BAGAUDA,3,Primary Health Care Centre
27.68,84.43,new+AF8-HF.693,Santi Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.7,84.42,new+AF8-HF.694,Sunaulo Bhabishya Nepal,chitwan,BHARATPUR MUNICIPALITY,3,Other HF (INGO)
27.68,84.43,new+AF8-HF.695,Puspanjali Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.7,84.42,new+AF8-HF.696,+ACI-Merry Stopes Centre, Bharatpur+ACI-,chitwan,BHARATPUR MUNICIPALITY,3,Other HF (INGO)
27.68,84.43,new+AF8-HF.697,Jay Buddha Health Science Academy,chitwan,BHARATPUR MUNICIPALITY,10,Other Private HF
27.68,84.44,new+AF8-HF.698,Kalika Dental Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Other Private HF
27.68,84.43,new+AF8-HF.699,Bharatpur Community Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Community Hospital (NGO)
27.69,84.43,new+AF8-HF.700,Oasis Medical College Teaching Hospital +ACY- Research Center,chitwan,BHARATPUR MUNICIPALITY,10,Medical College
27.68,84.44,new+AF8-HF.701,International Society for Medical Association Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.69,84.41,new+AF8-HF.702,Balkumari Medical College,chitwan,BHARATPUR MUNICIPALITY,4,Medical College
27.69,84.43,new+AF8-HF.703,Chitwan Medical College,chitwan,BHARATPUR MUNICIPALITY,10,Medical College
27.68,84.44,new+AF8-HF.704,King Mahendra Eye Hospital,chitwan,BHARATPUR MUNICIPALITY,10,Other Government Hospital
27.67,84.44,new+AF8-HF.705,+ACI-FPAN, Bharatpur+ACI-,chitwan,BHARATPUR MUNICIPALITY,12,Other HF (INGO)
27.68,84.43,new+AF8-HF.706,Narayani Community Hospital  +ACY- Research Centre,chitwan,BHARATPUR MUNICIPALITY,10,Community Hospital (NGO)
27.53,86.17,new+AF8-HF.707,Alive Hospital +ACY- Truma Center Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.68,84.43,new+AF8-HF.708,Chitwan Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.49,85.84,new+AF8-HF.709,Saptagandaki Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.68,84.43,new+AF8-HF.710,Mankamana Hospital Pvt Ltd,chitwan,BHARATPUR MUNICIPALITY,10,Private Hospital
27.7,84.43,new+AF8-HF.711,National Anti Tuberclosis Association,chitwan,BHARATPUR MUNICIPALITY,1,Other HF (INGO)
27.7,84.42,new+AF8-HF.712,Adarsha Nari Clinic and Health Counseling Centre,chitwan,BHARATPUR MUNICIPALITY,3,Other HF (INGO)
27.62,86.42,new+AF8-HF.713,Ratnanagar Hospital Pvt.Ltd.,chitwan,RATNANAGAR MUNICIPALITY,2,Other Private HF
27.47,85.85,new+AF8-HF.714,Om Sairam Hospital Pvt Ltd,chitwan,RATNANAGAR MUNICIPALITY,2,Private Hospital
27.52,85.88,new+AF8-HF.715,Paban Hospital Pvt.ltd.,chitwan,KHAIRAHANI,4,Private Hospital
27.41,86.14,new+AF8-HF.716,Gunjaman Sing Hospital,chitwan,PITHUWA,5,Private Hospital
27.64,84.37,new+AF8-HF.717,People Polyclinic +ACY- Diagnostic Center Pvt. Ltd.,chitwan,GUNJANAGAR,9,Other Private HF
27.62,84.3,new+AF8-HF.718,Fulbari HP,chitwan,FULBARI,3,Health Post
27.87,84.63,new+AF8-HF.719,Kaule SHP,chitwan,KAULE,3,Health Post
27.77,84.65,new+AF8-HF.720,Mankamana Community Polyclinic Pvt.ltd.,chitwan,DARECHOK,7,Other Private HF
27.87,84.63,new+AF8-HF.721,Darechok SHP,chitwan,DARECHOK,3,Health Post
27.58,84.36,new+AF8-HF.722,Patihani SHP,chitwan,PATIHANI,9,Health Post
27.77,84.47,new+AF8-HF.723,Kabilas HP,chitwan,KABILAS,1,Health Post
27.6,84.33,new+AF8-HF.724,Parbatipur SHP,chitwan,PARBATIPUR,4,Health Post
27.64,84.51,new+AF8-HF.725,Panchakanya SHP,chitwan,RATNANAGAR MUNICIPALITY,13,Health Post
27.6,84.65,new+AF8-HF.726,Bhandara HP,chitwan,BHANDARA,1,Health Post
27.63,84.56,new+AF8-HF.727,Chainpur SHP,chitwan,CHAINPUR,3,Health Post
27.63,84.63,new+AF8-HF.728,Birendranagar SHP,chitwan,BIRENDRANAGAR,7,Health Post
27.59,84.6,new+AF8-HF.729,Kathar HP,chitwan,KATHAR,2,Health Post
27.57,84.55,new+AF8-HF.730,Kumroj HP,chitwan,KUMROJ,5,Health Post
27.68,84.51,new+AF8-HF.731,Padampur SHP,chitwan,PADAMPUR,4,Health Post
27.65,84.55,new+AF8-HF.732,Pithuwa SHP,chitwan,PITHUWA,2,Health Post
27.58,84.5,new+AF8-HF.733,Bachhyauli HP,chitwan,BACHHAULI,6,Health Post
27.63,84.39,new+AF8-HF.734,Gitanagar HP,chitwan,GITANAGAR,7,Health Post
27.58,84.31,new+AF8-HF.735,Jagatpur HP,chitwan,JAGATPUR,5,Health Post
27.81,84.56,new+AF8-HF.736,Chandibhanjyang HP,chitwan,CHANDI BHANJYANG,7,Health Post
27.84,84.58,new+AF8-HF.737,Pamdanda SHP,chitwan,CHANDI BHANJYANG,5,Health Post
27.58,84.27,new+AF8-HF.738,Sukranagar SHP,chitwan,SUKRANAGAR,3,Health Post
27.58,84.24,new+AF8-HF.739,Meghauli HP,chitwan,MEGHAULI,8,Health Post
27.61,84.26,new+AF8-HF.740,Dibyanagar SHP,chitwan,DIBYANAGAR,7,Health Post
27.59,84.69,new+AF8-HF.741,Piple HP,chitwan,PIPLE,7,Health Post
27.79,84.53,new+AF8-HF.742,Dahakhani HP,chitwan,DAHAKHANI,4,Health Post
27.44,84.39,new+AF8-HF.744,Ayodhyapuri SHP,chitwan,AYODHYAPURI,5,Health Post
27.45,84.35,new+AF8-HF.745,Madikalyanpur SHP,chitwan,MADI KALYANPUR,4,Health Post
27.68,84.73,new+AF8-HF.746,Lothar HP,chitwan,LOTHAR,3,Health Post
27.65,84.42,new+AF8-HF.747,Bharatpur HP,chitwan,BHARATPUR MUNICIPALITY,8,Health Post
27.72,84.76,new+AF8-HF.748,Waswang SHP,chitwan,LOTHAR,6,Health Post
27.7,84.64,new+AF8-HF.749,Siddi SHP,chitwan,SIDDI,2,Health Post
27.72,84.59,new+AF8-HF.750,Shaktikhor SHP,chitwan,SHAKTIKHOR,6,Health Post
27.68,84.69,new+AF8-HF.751,Korak SHP,chitwan,KORAK,4,Health Post
27.65,84.29,new+AF8-HF.752,Gunjanagar HP,chitwan,GUNJANAGAR,8,Health Post
27.67,84.36,new+AF8-HF.753,Mangalpur SHP,chitwan,MANGALPUR,4,Health Post
27.64,84.32,new+AF8-HF.754,Saradanagar HP,chitwan,SARADANAGAR,1,Health Post
29.32,80.62,new+AF8-HF.755,Bhumiraj SHP,dadeldhura,AMARGADHI MUNICIPALITY,9,Health Post
29.34,80.49,new+AF8-HF.756,Chipur HP,dadeldhura,CHIPUR,8,Health Post
29.33,80.52,new+AF8-HF.757,Bhadrapur SHP,dadeldhura,BHADRAPUR,8,Health Post
29.34,80.55,new+AF8-HF.758,Ajameru HP,dadeldhura,AJAYAMERU,9,Health Post
29.35,80.59,new+AF8-HF.759,Samejee SHP,dadeldhura,SAMEJEE,8,Health Post
29.28,80.56,new+AF8-HF.760,Ghataldoti SHP,dadeldhura,AMARGADHI MUNICIPALITY,3,Health Post
29.27,80.71,new+AF8-HF.761,Kailpalmandau HP,dadeldhura,KAILAPALAMANDAU,5,Health Post
29.28,80.68,new+AF8-HF.762,Ganespur HP,dadeldhura,GANESHPUR,3,Health Post
29.23,80.65,new+AF8-HF.763,Ashigram HP,dadeldhura,ASHIGRAM,5,Health Post
29.31,80.72,new+AF8-HF.764,Mastamandau SHP,dadeldhura,MASHTAMANDAU,5,Health Post
29.3,80.64,new+AF8-HF.765,Shaharashaliga HP,dadeldhura,AMARGADHI MUNICIPALITY,10,Health Post
29.35,80.61,new+AF8-HF.766,Ugratara SHP,dadeldhura,AMARGADHI MUNICIPALITY,3,Health Post
29.31,80.71,new+AF8-HF.767,Nawadurga HP,dadeldhura,NAWADURGA,4,Health Post
29.36,80.73,new+AF8-HF.768,Belapur SHP,dadeldhura,BELAPUR,5,Health Post
29.33,80.64,new+AF8-HF.769,Koteli SHP,dadeldhura,KOTELI,3,Health Post
29.34,80.66,new+AF8-HF.770,Manilek HP,dadeldhura,MANILEK,9,Health Post
29.18,80.54,new+AF8-HF.771,Gankhet HP,dadeldhura,GANKHET,1,Health Post
29.29,80.37,new+AF8-HF.772,Bagarkot SHP,dadeldhura,BAGARKOT,7,Health Post
29.32,80.38,new+AF8-HF.773,Rupal HP,dadeldhura,RUPAL,5,Health Post
29.33,80.4,new+AF8-HF.774,Bhageswor HP,dadeldhura,BHAGESWOR,1,Health Post
29.35,80.46,new+AF8-HF.775,Dewaldibyapur HP,dadeldhura,DEWAL DIBYAPUR,8,Health Post
29.1,80.25,new+AF8-HF.776,Sadani HP,dadeldhura,JOGBUDA,4,Health Post
29.16,80.27,new+AF8-HF.777,Sirsha SHP,dadeldhura,SIRSHA,9,Health Post
29.12,80.48,new+AF8-HF.778,Alital SHP,dadeldhura,ALITAL,5,Health Post
27.99,85.2,new+AF8-HF.779,+ACI-District Hospital, Dailekh+ACI-,dailekh,NARAYAN MUNICIPALITY,8,District Hospital
28.85,81.6,new+AF8-HF.780,NSARC,dailekh,NARAYAN MUNICIPALITY,8,Other NGO Health Facility
28.83,81.71,new+AF8-HF.781,Dullu PHC,dailekh,DULLU,6,Primary Health Care Centre
28.8,81.69,new+AF8-HF.782,Naumule PHC,dailekh,NAUMULE,3,Primary Health Care Centre
28.17,83.65,new+AF8-HF.783,NSARC Belpata,dailekh,BELPATA,5,Other HF (INGO)
28.85,81.6,new+AF8-HF.784,Lakandra PHC,dailekh,LAKANDRA,9,Primary Health Care Centre
28.97,81.53,new+AF8-HF.785,FPAN Badalamjhi,dailekh,BADALAMJI,5,Other HF (INGO)
28.8,81.69,new+AF8-HF.786,FPAN Belpata,dailekh,BELPATA,5,Other HF (INGO)
28.93,81.62,new+AF8-HF.787,FPAN Bhairabkalikathum,dailekh,BHAIRI KALIKATHUM,3,Other HF (INGO)
26.73,86.94,new+AF8-HF.788,FPAN Gamaudi,dailekh,GAMAUDI,4,Other HF (INGO)
28.87,81.65,new+AF8-HF.789,FPAN Rwatkot,dailekh,RAWATKOT,6,Other HF (INGO)
28.88,81.65,new+AF8-HF.790,Rawatkot SHP,dailekh,RAWATKOT,4,Health Post
28.83,81.63,new+AF8-HF.791,Pusakotchiudi SHP,dailekh,CHHIUDI PUSAKOT,1,Health Post
28.88,81.59,new+AF8-HF.792,Padukasthan SHP,dailekh,PADUKASTHAN,4,Health Post
28.78,81.66,new+AF8-HF.793,Gauri SHP,dailekh,GAURI,4,Health Post
28.6,81.61,new+AF8-HF.794,Naulekatuwal SHP,dailekh,NAULE KATUWAL,2,Health Post
28.83,81.64,new+AF8-HF.795,Gamaudi SHP,dailekh,GAMAUDI,4,Health Post
28.93,81.55,new+AF8-HF.796,Jambukandh SHP,dailekh,JAMBUKANDH,3,Health Post
28.91,81.52,new+AF8-HF.797,Lyatibindraseni HP,dailekh,LAYATI BINDRASAINI,4,Health Post
28.9,81.63,new+AF8-HF.798,Badalamji SHP,dailekh,BADALAMJI,1,Health Post
28.97,81.63,new+AF8-HF.799,Kusapani SHP,dailekh,KUSAPANI,6,Health Post
28.79,81.63,new+AF8-HF.800,Malika SHP,dailekh,MALIKA,1,Health Post
28.93,81.62,new+AF8-HF.801,Bhairikalikathum SHP,dailekh,BHAIRI KALIKATHUM,5,Health Post
28.86,81.72,new+AF8-HF.802,Belaspur SHP,dailekh,NARAYAN MUNICIPALITY,3,Health Post
28.84,81.72,new+AF8-HF.803,Basantamala SHP,dailekh,NARAYAN MUNICIPALITY,7,Health Post
28.86,81.71,new+AF8-HF.804,Narayan SHP,dailekh,NARAYAN MUNICIPALITY,2,Health Post
28.99,81.57,new+AF8-HF.805,Bisalla SHP,dailekh,BISALLA,5,Health Post
28.9,81.78,new+AF8-HF.806,Toli SHP,dailekh,TOLI,1,Health Post
28.94,81.82,new+AF8-HF.807,Dwari SHP,dailekh,DWARI,1,Health Post
28.93,81.81,new+AF8-HF.808,Baluwatar SHP,dailekh,BALUWATAR,2,Health Post
28.91,81.87,new+AF8-HF.809,Kalika SHP,dailekh,KALIKA,4,Health Post
28.88,81.8,new+AF8-HF.810,Salleri SHP,dailekh,SALLERI,2,Health Post
28.86,81.79,new+AF8-HF.811,Chauratha HP,dailekh,CHAURATHA,5,Health Post
28.85,81.77,new+AF8-HF.812,Bindhyabasini SHP,dailekh,BINDHYABASINI,3,Health Post
28.93,81.69,new+AF8-HF.813,Raniban HP,dailekh,RANIBAN,6,Health Post
28.93,81.74,new+AF8-HF.814,Bhawani SHP,dailekh,BHAWANI,5,Health Post
28.96,81.67,new+AF8-HF.815,Kasikandh SHP,dailekh,KASIKANDH,2,Health Post
28.89,81.69,new+AF8-HF.816,Kharigera SHP,dailekh,KHARIGAIRA,5,Health Post
28.91,81.67,new+AF8-HF.817,Bansi HP,dailekh,BANSI,6,Health Post
28.81,81.66,new+AF8-HF.818,Kalbhairab SHP,dailekh,KAL BHAIRAB,7,Health Post
28.77,81.86,new+AF8-HF.819,Katti HP,dailekh,KATTI,3,Health Post
28.79,81.87,new+AF8-HF.820,Jaganath SHP,dailekh,JAGANATH,5,Health Post
28.82,81.85,new+AF8-HF.821,Moheltolee SHP,dailekh,MEHELTOLI,5,Health Post
28.81,81.84,new+AF8-HF.822,Room SHP,dailekh,RUMA,5,Health Post
28.8,81.81,new+AF8-HF.823,Pagnath HP,dailekh,PAGNATH,3,Health Post
28.79,81.76,new+AF8-HF.824,Badabhairab SHP,dailekh,BADABHAIRAB,4,Health Post
28.75,81.69,new+AF8-HF.825,Dandaparajul HP,dailekh,DADA PARAJUL,5,Health Post
28.8,81.69,new+AF8-HF.826,Belpata SHP,dailekh,BELPATA,5,Health Post
28.78,81.72,new+AF8-HF.827,Lakuri SHP,dailekh,LANKURI,8,Health Post
28.71,81.72,new+AF8-HF.828,Awalparajul SHP,dailekh,AWAL PARAJUL,4,Health Post
28.68,81.77,new+AF8-HF.829,Lalikanda SHP,dailekh,LALIKANDA,8,Health Post
28.68,81.73,new+AF8-HF.830,Piladi HP,dailekh,PILADI,8,Health Post
28.7,81.68,new+AF8-HF.831,Goganpani SHP,dailekh,GOGANPANI,0,Health Post
27.97,84.68,new+AF8-HF.1395,Bunkot HP,gorkha,BUNKOT,0,Health Post
28.73,81.62,new+AF8-HF.832,Seri SHP,dailekh,SERI,4,Health Post
28.76,81.6,new+AF8-HF.833,Khadkawada SHP,dailekh,KHADGABADA,5,Health Post
28.74,81.63,new+AF8-HF.834,Seriwada HP,dailekh,BARAHA,4,Health Post
28.96,81.56,new+AF8-HF.835,Chamunda SHP,dailekh,CHAMUNDA,6,Health Post
29.08,81.52,new+AF8-HF.836,Pipalkot SHP,dailekh,PIPALKOT,2,Health Post
29,81.5,new+AF8-HF.837,Tolijaisi SHP,dailekh,TOLIJAISI,6,Health Post
28.95,81.48,new+AF8-HF.838,Sattala HP,dailekh,SATTALA,2,Health Post
29.06,81.46,new+AF8-HF.839,Rakamkarnali SHP,dailekh,RAKAM KARNALI,7,Health Post
28.99,81.45,new+AF8-HF.840,Sigaudi SHP,dailekh,SIGAUDI,3,Health Post
29.02,81.48,new+AF8-HF.841,Tilepata SHP,dailekh,TILEPATA,9,Health Post
28.88,81.74,new+AF8-HF.842,Tribeni HP,dailekh,NARAYAN MUNICIPALITY,5,Health Post
27.87,82.52,new+AF8-HF.843,Lamahi PHC,dang,CHAULAHI,2,Primary Health Care Centre
27.87,82.53,new+AF8-HF.844,Deukhuri Community Hospital,dang,CHAULAHI,2,Private Hospital
27.87,82.51,new+AF8-HF.845,Rapti Zonal Hospital,dang,TULSIPUR MUNICIPALITY,5,Zonal Hospital
28.12,82.2,new+AF8-HF.846,Shreegaun PHC,dang,SHREEGAUN,2,Primary Health Care Centre
28.13,82.3,new+AF8-HF.847,+ACI-Nepal Health Care Hospital, Lamahi+ACI-,dang,CHAULAHI,2,Other Private HF
28.04,82.49,new+AF8-HF.848,Dirghayu Poly Clinic,dang,TULSIPUR MUNICIPALITY,5,Private Clinics
28.06,82.6,new+AF8-HF.849,Rapti Sub Regional Hospital,dang,GHORAHI MUNICIPALITY,10,Sub+AC0-Regional Hospital
28.13,82.3,new+AF8-HF.850,Syuja PHC,dang,SYUJA,4,Primary Health Care Centre
28.13,82.31,new+AF8-HF.851,Rapti Life Care Hospital,dang,TULSIPUR MUNICIPALITY,6,Private Hospital
28.06,82.24,new+AF8-HF.852,Urahari SHP,dang,URAHARI,6,Health Post
28.1,82.27,new+AF8-HF.853,Tarigaun SHP,dang,TARIGAUN,5,Health Post
28.09,82.45,new+AF8-HF.854,Hapur SHP,dang,HAPUR,4,Health Post
28.06,82.37,new+AF8-HF.855,Dhikpur SHP,dang,DHIKPUR,1,Health Post
28.1,82.55,new+AF8-HF.856,Saigha SHP,dang,SAIGHA,4,Health Post
27.88,82.33,new+AF8-HF.857,Rajpur SHP,dang,RAJPUR,7,Health Post
28.14,82.16,new+AF8-HF.858,Dhanauri SHP,dang,DHANAURI,1,Health Post
27.84,82.77,new+AF8-HF.859,Lalmatiya SHP,dang,LALMATIYA,3,Health Post
28,82.51,new+AF8-HF.860,Laxmipur HP,dang,LAXMIPUR,8,Health Post
27.81,82.63,new+AF8-HF.861,Gobardiya HP,dang,GOBARDIYA,3,Health Post
28.21,82.12,new+AF8-HF.862,Purandhara SHP,dang,PURANDHARA,0,Health Post
27.94,82.69,new+AF8-HF.863,Hansipur SHP,dang,HANSIPUR,5,Health Post
28,82.71,new+AF8-HF.864,Loharpani SHP,dang,LOHARPANI,7,Health Post
28.02,82.4,new+AF8-HF.865,Saudiyar SHP,dang,SAUDIYAR,7,Health Post
27.99,82.39,new+AF8-HF.866,Dharna HP,dang,DHARNA,4,Health Post
27.99,82.54,new+AF8-HF.867,Rampur SHP,dang,RAMPUR,3,Health Post
28.06,82.41,new+AF8-HF.868,Narayanpur SHP,dang,NARAYANPUR,1,Health Post
28.16,82.22,new+AF8-HF.869,Shantinagar SHP,dang,SHANTINAGAR,8,Health Post
28.15,82.25,new+AF8-HF.870,Pawannagar SHP,dang,PAWAN NAGAR,3,Health Post
27.84,82.6,new+AF8-HF.871,Sonpur SHP,dang,SONPUR,9,Health Post
27.81,82.57,new+AF8-HF.872,Gangapraspur HP,dang,GANGAPRASPUR,7,Health Post
28.16,82.35,new+AF8-HF.873,Halwar HP,dang,HALWAR,8,Health Post
28.06,82.2,new+AF8-HF.874,Goltakuri SHP,dang,GOLTAKURI,5,Health Post
28.15,82.4,new+AF8-HF.875,Bijauri SHP,dang,BIJAURI,9,Health Post
27.89,82.43,new+AF8-HF.876,Satbariya HP,dang,SATBARIYA,4,Health Post
27.85,82.45,new+AF8-HF.877,Bela SHP,dang,BELA,6,Health Post
28.18,82.19,new+AF8-HF.878,Baghmare SHP,dang,BAGHMARE,5,Health Post
28.01,82.27,new+AF8-HF.879,Phoolbari HP,dang,PHULBARI,3,Health Post
27.69,82.53,new+AF8-HF.880,Koilabas HP,dang,KOILABAS,9,Health Post
28.01,82.62,new+AF8-HF.881,Kabhre HP,dang,KABHRE,8,Health Post
27.81,82.54,new+AF8-HF.882,Gadhawa HP,dang,GADHAWA,1,Health Post
28.1,82.34,new+AF8-HF.883,Manpur HP,dang,MANPUR,1,Health Post
28.1,82.2,new+AF8-HF.884,Hekuli HP,dang,HEKULI,8,Health Post
28.17,82.14,new+AF8-HF.885,Panchakule HP,dang,PANCHAKULE,2,Health Post
27.85,82.65,new+AF8-HF.886,Sisahaniya HP,dang,SISAHANIYA,5,Health Post
28.04,82.33,new+AF8-HF.887,Duruwa HP,dang,DURUWA,4,Health Post
29.67,80.54,new+AF8-HF.888,+ACI-District Hospital, Darchula+ACI-,darchula,KHALANGA,2,District Hospital
29.84,80.53,new+AF8-HF.889,Gokuleshwor PHC,darchula,GOKULESWOR,4,Primary Health Care Centre
30.13,80.88,new+AF8-HF.890,Byash HP,darchula,BYASH,5,Health Post
29.69,80.61,new+AF8-HF.891,Dethala HP,darchula,DETHALA,6,Health Post
29.74,80.62,new+AF8-HF.892,Boharigaun SHP,darchula,BOHARIGAU,4,Health Post
29.68,80.65,new+AF8-HF.893,Shikhar  SHP,darchula,SIKHAR,5,Health Post
29.7,80.58,new+AF8-HF.894,Ranishikhar  SHP,darchula,RANISIKHAR,4,Health Post
29.83,80.86,new+AF8-HF.895,Ghusha HP,darchula,GHUSA,8,Health Post
29.76,80.75,new+AF8-HF.896,Sitola  SHP,darchula,SITAULA,4,Health Post
29.74,80.77,new+AF8-HF.897,Latinath  HP,darchula,LATINATH,2,Health Post
29.74,80.84,new+AF8-HF.898,Guljar HP,darchula,GULJAR,6,Health Post
29.81,80.88,new+AF8-HF.899,khandeswori SHP,darchula,KHANDESWORI,7,Health Post
29.9,80.61,new+AF8-HF.900,Hikila HP,darchula,HIKILA,8,Health Post
29.88,80.58,new+AF8-HF.901,Eyerkot SHP,darchula,EYARKOT,4,Health Post
29.89,80.59,new+AF8-HF.902,Dhari SHP,darchula,DHARI,4,Health Post
29.92,80.59,new+AF8-HF.903,Huti HP,darchula,HUTI,2,Health Post
29.91,80.6,new+AF8-HF.904,Pipalchauri SHP,darchula,PIPALCHAURI,1,Health Post
29.95,80.61,new+AF8-HF.905,Dhaulakot SHP,darchula,DHAULAKOT,2,Health Post
29.83,80.57,new+AF8-HF.906,Khalanga HP,darchula,KHALANGA,9,Health Post
29.85,80.56,new+AF8-HF.907,Chhapari SHP,darchula,CHHAPARI,6,Health Post
29.8,80.42,new+AF8-HF.908,Dattu SHP,darchula,DATTU,7,Health Post
29.81,80.6,new+AF8-HF.909,Katai SHP,darchula,KANTE,7,Health Post
29.8,80.48,new+AF8-HF.910,Dhap SHP,darchula,DHAP,5,Health Post
29.66,80.41,new+AF8-HF.911,Lali HP,darchula,LALI,1,Health Post
29.73,80.37,new+AF8-HF.912,Uku SHP,darchula,UKU,4,Health Post
29.68,80.45,new+AF8-HF.913,Kharkada SHP,darchula,KHARKADA,4,Health Post
29.73,80.44,new+AF8-HF.914,Pasti HP,darchula,SANKARPUR,1,Health Post
29.75,80.47,new+AF8-HF.915,Bhagwati SHP,darchula,BHAGABATI,9,Health Post
29.74,80.48,new+AF8-HF.916,Malikarjun SHP,darchula,MALIKARJUN,6,Health Post
29.7,80.72,new+AF8-HF.917,Dadakot SHP,darchula,DADAKOT,6,Health Post
29.72,80.43,new+AF8-HF.918,Hunainath HP,darchula,HUNAINATH,6,Health Post
29.96,80.7,new+AF8-HF.919,Rapla HP,darchula,RAPLA,3,Health Post
29.94,80.66,new+AF8-HF.920,Sunsera SHP,darchula,SUNSERA,4,Health Post
29.68,80.47,new+AF8-HF.921,Rithachaupata HP,darchula,RITHACHAUPATA,2,Health Post
29.65,80.48,new+AF8-HF.922,Dhuligarha SHP,darchula,DHULIGADA,4,Health Post
29.69,80.53,new+AF8-HF.923,Sarmoli SHP,darchula,SHARMAULI,7,Health Post
29.72,80.52,new+AF8-HF.924,Gwani SHP,darchula,GWANI,5,Health Post
29.75,80.7,new+AF8-HF.925,Sipti HP,darchula,SIPTI,6,Health Post
29.79,80.64,new+AF8-HF.926,Khar SHP,darchula,KHAR,4,Health Post
29.8,80.67,new+AF8-HF.927,Tapoban SHP,darchula,TAPOBAN,4,Health Post
29.73,80.71,new+AF8-HF.928,Seri SHP,darchula,SERI,0,Health Post
28.03,84.84,new+AF8-HF.929,Aginchok SHP,dhading,AGINCHOK,0,Health Post
27.8,84.99,new+AF8-HF.930,Baireni HP,dhading,BAIRENI,9,Health Post
28.1,84.86,new+AF8-HF.931,Baseri SHP,dhading,BASERI,0,Health Post
27.81,84.78,new+AF8-HF.932,Benighat HP,dhading,BENIGHAT,0,Health Post
27.81,84.83,new+AF8-HF.933,Highway Community Hospital,dhading,BENIGHAT,0,Community Hospital (Cooperative)
27.75,85.04,new+AF8-HF.934,Bhumesthan SHP,dhading,BHUMESTHAN,0,Health Post
28.08,84.85,new+AF8-HF.935,Budhathum HP,dhading,BUDHATHUM,0,Health Post
27.96,84.83,new+AF8-HF.936,Salbas HP,dhading,CHAINPUR,0,Health Post
27.75,85.21,new+AF8-HF.937,Chhatre Dyaurali SHP,dhading,CHHATRE DYAURALI,2,Health Post
28.06,84.99,new+AF8-HF.938,Darkha HP,dhading,DARKHA,0,Health Post
27.92,84.83,new+AF8-HF.939,Dhola SHP,dhading,DHOLA,0,Health Post
27.77,84.73,new+AF8-HF.940,Dhussa SHP,dhading,DHUSSA,0,Health Post
27.93,84.97,new+AF8-HF.941,Dhuwakot HP,dhading,DHUWAKOT,0,Health Post
27.93,85,new+AF8-HF.942,Dhuwakot SHP,dhading,DHUWAKOT,0,Health Post
27.81,84.88,new+AF8-HF.943,Gajuri PHC,dhading,GAJURI,0,Primary Health Care Centre
27.81,84.88,new+AF8-HF.944,Gajuri Hospital,dhading,GAJURI,1,Private Hospital
27.8,84.88,new+AF8-HF.945,Marie Stopes Service,dhading,GAJURI,0,Other non+AC0-governmental
27.78,85.06,new+AF8-HF.946,Goganpani SHP,dhading,GOGANPANI,0,Health Post
28.04,84.94,new+AF8-HF.947,Gumdi SHP,dhading,GUMDI,0,Health Post
27.76,85.16,new+AF8-HF.948,Jeewanpur SHP,dhading,JEEWANPUR,0,Health Post
28.11,85.02,new+AF8-HF.949,Jharlang SHP,dhading,JHARLANG,3,Health Post
27.81,84.64,new+AF8-HF.950,Jogimara SHP,dhading,JOGIMARA,9,Health Post
27.98,84.88,new+AF8-HF.951,Jyamrung SHP,dhading,JYAMRUNG,0,Health Post
27.84,84.95,new+AF8-HF.952,Kalleri SHP,dhading,KALLERI,0,Health Post
27.98,84.93,new+AF8-HF.953,Katunje HP,dhading,KATUNJE,0,Health Post
27.76,85.11,new+AF8-HF.954,Kewalpur SHP,dhading,KEWALPUR,5,Health Post
27.87,84.96,new+AF8-HF.955,Khalte HP,dhading,KHALTE,0,Health Post
27.94,84.77,new+AF8-HF.956,Khari SHP,dhading,KHARI,0,Health Post
27.75,84.94,new+AF8-HF.957,Kiranchok SHP,dhading,KIRANCHOK,0,Health Post
27.84,84.88,new+AF8-HF.958,Kumpur SHP,dhading,KUMPUR,0,Health Post
28.17,85.01,new+AF8-HF.959,Lapa SHP,dhading,LAPA,3,Health Post
27.73,84.82,new+AF8-HF.960,Mahadevsthan SHP,dhading,MAHADEVSTHAN,0,Health Post
27.9,84.78,new+AF8-HF.961,Maidi HP,dhading,MAIDI,0,Health Post
28.01,84.95,new+AF8-HF.962,Marpak SHP,dhading,MARPAK,0,Health Post
28.05,84.87,new+AF8-HF.963,Mulpani SHP,dhading,MULPANI,0,Health Post
27.94,84.86,new+AF8-HF.964,Murali Bhanjyang SHP,dhading,MURALI BHANJYANG,0,Health Post
