name,operator_type,opening_hours,phone_number,email_address,emergency_service,icu,nicu,operating_theatre,x_ray,ambulance_service,number_of_staff,number_of_Beds,Comments,type,lat,long
Dudh Pokhari Pharmacy,,24/7,,,,,,,,,,,,pharmacy,83.9828741,28.2378202
Brighter Pharmacy,,,,,,,,,,,,,,pharmacy,83.9867332,28.2113389
Neha Ausadhi,,,,,,,,,,,,,,pharmacy,83.9864596,28.2104975
Sabhagriya Medicare,,,,,,,,,,,,,,pharmacy,83.9846729,28.2109169
Dhaulagiri Medical Hall,,8am-7pm,9846030213,,,,,,,,,,,pharmacy,83.9786172,28.1939983
Sayapatri Medical Hall,,,"9846022676, 061-463596",,,,,,,,,,,pharmacy,83.9598114,28.2064503
Goma Medical Hall,,,,,,,,,,,,,,pharmacy,83.9577889,28.2143234
Milap Pharmacy,,,061-461684,,,,,,,,,,,pharmacy,83.9578112,28.2085264
Pandey Medical Hall,,,,,,,,,,,,,,pharmacy,83.9594048,28.2135684
Ramba Pharmacy,,,,,,,,,,,,,,pharmacy,83.9580844,28.2149353
Smriti Medical,,,,,,,,,,,,,,pharmacy,83.9588405,28.2177983
The Lake Pharmacy,,,,,,,,,,,,,,pharmacy,83.9574019,28.2118359
Birauta Medical Pharma,,,,,,,,,,,,,,pharmacy,83.9703691,28.1917027
Subha Prabhat Pharmacy,,Su-Sa 6:00-21:00,9856031841,,,,,,,,,,,pharmacy,83.971229,28.1922474
Samata Pharmacy,,,,,,,,,,,,,,pharmacy,83.9751633,28.198545
NIMS Pharmacy,,,"061-521076, 9856051488, 9846051488",,,,,,,,,,,pharmacy,83.9790654,28.2092964
Aasirbad Medical Service,,,,,,,,,,,,,,pharmacy,83.9841685,28.2101024
Nanita Pharmacy,,,,,,,,,,,,,,pharmacy,83.9795033,28.2098709
Anmol Medical,,,061-522083,,,,,,,,,,,pharmacy,83.9914177,28.2210503
Area Medical Hall,,,,,,,,,,,,,,pharmacy,83.9879588,28.240232
Padhma Pharmacy,,,,,,,,,,,,,,pharmacy,83.9867133,28.2196661
Panthi Pharmacy,,,,,,,,,,,,,,pharmacy,83.960556,28.2144786
Everest Medico Pharma,,,,,,,,,,,,,,pharmacy,84.0012553,28.203055
Rupa Pharmacy,,Su-Sa 07:00-19:00,9846029690/061-561377,,,,,,,,,,,pharmacy,84.0575008,28.1630407
Barak Medical,,,,,,,,,,,,,,pharmacy,84.050169,28.1749342
Bigya Pharmacy,,,9846027840,,,,,,,,,,,pharmacy,84.0148572,28.1986271
Yekata Pharmacy,private,7:00-19:00,614113951,,,,,,,,,,,pharmacy,84.0305605,28.1902176
Pokhara Medical Hall,,,,,,,,,,,,,,pharmacy,83.9913366,28.2251819
Acharya Medical Hall,,7 AM-8 PM,"98,560,803,339,856,000,000",,,,,,,,,,,pharmacy,83.9720945,28.2616893
Lamachaur Medical,,,,,,,,,,,,,,pharmacy,83.9718044,28.2608068
Saru Medical,,,,,,,,,,,,,,pharmacy,83.9877394,28.2094651
Trekking Medicine Pharmacy,,,,,,,,,,,,,,pharmacy,83.9582646,28.2115694
Mersany Medical Hall,,,,,,,,,,,,,,pharmacy,83.9843652,28.2243562
New Road Pharmacy,,,,pokharalikata@gmail.com,,,,,,,,,,pharmacy,83.9866445,28.2179347
Lio Pharmacy,,,,,,,,,,,,,,pharmacy,83.9795082,28.2236734
Geno Pharmacy,private,,,,,,,,,,,,,pharmacy,83.9836917,28.2435381
Pharmacy Unit,,,,,,,,,,,,,,pharmacy,83.9887877,28.2433139
Sunene Pradhan Medical Hall,,,,,,,,,,,,,,pharmacy,84.0015757,28.2044375
Shanti Medical Hall,,,,,,,,,,,,,,pharmacy,83.9889774,28.2446259
Laxmi Pharmacy,,5:00-17:00,9816193828,,,,,,,,,,,pharmacy,83.8743272,28.2465752
Devi Medical Hall,,,9846053977,,,,,,,,,,,pharmacy,84.0432212,28.1846589
Aausadhi Pasal,private,,98460232088,,,,,,,,,,,pharmacy,84.0372512,28.1846774
Upakar Medical Hall,,7:00-20:00,9846142903,,,,,,,,,,,pharmacy,84.0456489,28.1801081
Baral Medical Hall,,,,,,,,,,,,,,pharmacy,84.049895,28.1751217
Sabyata Pharmacy,,,,,,,,,,,,,,pharmacy,83.9920885,28.2230896
Amarsingh Pharmacy,,,,,,,,,,,,,,pharmacy,84.0006166,28.2052393
Nidan Medical Hall,,,,,,,,,,,,,,pharmacy,84.0023765,28.2041358
Aimee Pharmacy,,,,,,,,,,,,,,pharmacy,84.0014458,28.2045037
Talbarahi Pharmacy,,24/7,061 528345,,,,,,,,,,,pharmacy,83.9899531,28.226066
Nishchal Parmacy,,,,,,,,,,,,,,pharmacy,83.9892434,28.2451093
Nawa Jiwan Darsan Pharmacy,,7 AM-7 PM,9815117820,,,,,,,,,,,pharmacy,83.986494,28.2477987
Sardikhola Pharmacy,,,,,,,,,,,,,,pharmacy,83.9888125,28.2435143
Multi Medical Hall,,,,,,,,,,,,,,pharmacy,83.9879476,28.2404042
Daju Vai Pharmacy,,6:30-21:00,9843463608,,,,,,,,,,,pharmacy,83.9810982,28.2583445
Siddhartha Homiyo Pharmacy,,,,,,,,,,,,,,pharmacy,83.9846081,28.2246902
Sarathi Medical Hall,,,,,,,,,,,,,,pharmacy,83.9588184,28.2169194
Raj Pharmacy,,8:00-19:00,9856010789,,,,,,,,,,,pharmacy,83.9715713,28.1920022
Aarkid Pharmacy,,,,,,,,,,,,,,pharmacy,83.9730199,28.1926725
Pahichan Medical,,7:00-18:00,9857033158,,,,,,,,,,,pharmacy,83.9537234,28.1911607
Namrata Medical Hall,,8:00-19:00,,,,,,,,,,,,pharmacy,83.9597242,28.1889786
Devi's Fall Medical Hall,,8:00-19:00,,,,,,,,,,,,pharmacy,83.9579833,28.1896542
Mandip Pharmacy,,8:00-19:00,,,,,,,,,,,,pharmacy,83.9575994,28.1900001
Dev Pharmacy,,Su-Fr 7:00-19:00,9856065535,,,,,,,,,,,pharmacy,83.9711934,28.19239
Manish Medical Hall,,Sun-Sa 7:00-20:00,9847596614,,,,,,,,,,,pharmacy,83.9702233,28.1953652
Fulbari Pharmacy,,Su-Sa 07:00-20:00,98560377066,,,,,,,,,,,pharmacy,83.9713454,28.2005868
Medical Hall,,,,,,,,,,,,,,pharmacy,84.0095183,28.2135735
Bhim Pharmacy,,,,,,,,,,,,,,pharmacy,84.0114223,28.2105642
Kundhar Medical Hall,,,,,,,,,,,,,,pharmacy,84.0115345,28.2101069
Uniqie Medical,,,,,,,,,,,,,,pharmacy,84.081675,28.1331883
Medical Hall,,07:00-20:00,,,,,,,,,,,,pharmacy,84.06874,28.1643277
Gagan Medical Hall,,,,,,,,,,,,,,pharmacy,84.0870735,28.1286607
Dahal Clinic,,Su-Sa 7:00-21:00,"9856061871, 9846032113",,,,,,,,,,,pharmacy,84.0439529,28.1439306
Jyoti Medical Hall,,Su-Sa 7:00-21:00,9846040160,,,,,,,,,,,pharmacy,84.0445127,28.1438219
Balika Ausodhi Pasal,,,,,,,,,,,,,,pharmacy,84.1031907,28.1201504
Swikriti Ayurved Medicine Pharma,private,Su-Fr 07:00-18:00,,,,,,,,,,,,pharmacy,83.9716736,28.201182
Sharmila Medical Hall,,7 AM-7 PM,9846031332,,,,,,,,,,,pharmacy,83.9797221,28.2629677
Omage Medical Hall,,,,,,,,,,,,,,pharmacy,83.9797376,28.2462581
Shyama Pharmacy,,,,,,,,,,,,,,pharmacy,83.9875032,28.2411886
Polite Medicine House,,6:00-20:00,061-541640,,,,,,,,,,,pharmacy,83.983551,28.2374025
Darshan Pharmacy,,,,,,,,,,,,,,pharmacy,83.989239,28.2450035
Arniko Pharmacy,,,,,,,,,,,,,,pharmacy,83.9872524,28.2417882
Anurag Medical Pharma,,,,,,,,,,,,,,pharmacy,83.9776937,28.2560675
Shivam Pharma,,7 AM-8 PM,9846044443,,,,,,,,,,,pharmacy,83.9863998,28.248011
Saujanya Pharmacy,,,,,,,,,,,,,,pharmacy,83.9903756,28.2262289
Kripa Ayuverdic Pharmacy,,,"9846109477, 061-535596",,,,,,,,,,,pharmacy,83.9906389,28.2263121
Swecha Medicine,,,,,,,,,,,,,,pharmacy,83.9762051,28.1922773
Emerge Medical Hall,,,,,,,,,,,,,,pharmacy,83.9844434,28.2280396
Shulav Pharmacy,private,,,,,,,,,,,,,pharmacy,83.9845914,28.2252874
Sahayog Medical Concern,,,,,,,,,,,,,,pharmacy,83.982336,28.2154873
Shushan Pharmacy,,,,,,,,,,,,,,pharmacy,83.9856962,28.2348237
Metrocity Pharmacy,,,,,,,,,,,,,,pharmacy,83.9811372,28.2118108
Kaskeli Pharmacy,,,,,,,,,,,,,,pharmacy,83.9832479,28.2379898
Polite Medicine House,,,,,,,,,,,,,,pharmacy,83.983565,28.2372718
Janapriya Pharmacy,,,,,,,,,,,,,,pharmacy,83.9803986,28.2247188
Aarjun Medical Hall,,,,,,,,,,,,,,pharmacy,83.9821938,28.2318358
Padam Medical Hall,,,,,,,,,,,,,,pharmacy,83.9815427,28.2298011
Medanta Ayurvedic Pharma,,,,,,,,,,,,,,pharmacy,83.9831221,28.2372228
New Milijuli Pragati Farmacy,,,,,,,,,,,,,,pharmacy,84.0222735,28.1683662
Aarambha Medico Pharma,,,,,,,,,,,,,,pharmacy,83.9902864,28.1941091
Aviral Pharmacy,,Su-Sa 06:00-19:00,9856070181,,,,,,,,,,,pharmacy,84.026105,28.1731653
Soniya Pharmacy,,7:00-8:00,9846032562,,,,,,,,,,,pharmacy,84.0650895,28.1500141
Chetan Pharmacy,,,,,,,,,,,,,,pharmacy,84.0681544,28.1431962
Acahrya Aaudhadi Pasal,,,,,,,,,,,,,,pharmacy,83.981769,28.2349818
Nirdesh Pharmacy,,,,,,,,,,,,,,pharmacy,83.9981815,28.2114037
Kajipokhari Pharma,,,,,,,,,,,,,,pharmacy,84.0026987,28.1971494
Sagarmatha Pharmacy,,,,,,,,,,,,,,pharmacy,84.0105887,28.1970685
Ashsok Medical Hall,,,,,,,,,,,,,,pharmacy,83.9911236,28.229647
Janasathi Pharmacy,,,9846039823,,,,,,,,,,,pharmacy,83.9914448,28.2298797
Ankita Pharmacy,,,,,,,,,,,,,,pharmacy,83.9968628,28.1875728
Sworan Pharma,,8:00-19:30,9841813670,,,,,,,,,,,pharmacy,83.9968367,28.1879449
Machhapuchre Pharmacy,,,,,,,,,,,,,,pharmacy,83.9961212,28.1943718
Priti Medical Hall,,,,,,,,,,,,,,pharmacy,84.0233088,28.1916482
Palungtar Pharmacy,,,,,,,,,,,,,,pharmacy,84.0302483,28.1905734
Soschhya Pharmacy,,,"9856060202, 9846268265",,,,,,,,,,,pharmacy,84.0237553,28.1921443
Sambridhi Pharmacy,,,,,,,,,,,,,,pharmacy,84.0524228,28.1721193
Tal Chowk Pharmacy,,,"061 531666, 9846744422",,,,,,,,,,,pharmacy,84.0572876,28.1631866
Sishuwa Aurbhed Ausadalaya,,,,,,,,,,,,,,pharmacy,84.0679528,28.1653242
Abhaya Upachar Kendra,,,,,,,,,,,,,,pharmacy,84.067883,28.1638132
Aashu Medical Hall,,,,,,,,,,,,,,pharmacy,84.0684178,28.1637526
B and B Aurbhedic Upachar and Anusandhan Kendra,,,,,,,,,,,,,,pharmacy,84.056609,28.171741
Nature Aayurbed Pharma,,,,,,,,,,,,,,pharmacy,83.9932146,28.2067227
National Pharmacy,,,,,,,,,,,,,,pharmacy,83.9667651,28.206955
Prime Pharmacy,,,,,,,,,,,,,,pharmacy,83.9638381,28.2045597
Sahayatri Pharmacy,,,,,,,,,,,,,,pharmacy,83.9622449,28.2104799
Bishal Medico Pharma,,,,,,,,,,,,,,pharmacy,83.960181,28.2121846
Prichit Medical Hall,,,9846041494,,,,,,,,,,,pharmacy,83.9906066,28.2260998
Arjun Medical Hall,,,,,,,,,,,,,,pharmacy,83.9823407,28.2323439
Amar Ayurbedic Clinic,,,,,,,,,,,,,,pharmacy,83.9865665,28.2295205
Ishwor Medical Hall,,,,,,,,,,,,,,pharmacy,83.9870875,28.2199009
Pasture Pharmacy's,,,,,,,,,,,,,,pharmacy,83.9814219,28.2112612
Jeewan Pharmacy,private,7:00-20:30,061-534755,,,,,,,,,,,pharmacy,83.9830898,28.2105711
Sipora Medical Hall,,,,,,,,,,,,,,pharmacy,83.9862382,28.2095645
Sancho Medical Pharma,,,,,,,,,,,,,,pharmacy,83.9762342,28.2127708
Puspa Jyoti Pharmacy,,,,,,,,,,,,,,pharmacy,83.9837617,28.2106409
Nadipur Medical Hall,,,,,,,,,,,,,,pharmacy,83.9897937,28.2355778
Kafle Medical Hall,,,,,,,,,,,,,,pharmacy,84.0899625,28.1651198
Ayurvedic Health Home,,,,sattva@ayurveda.com.np,,,,,,,,,,pharmacy,83.9610794,28.2166861
Bisesh Pharmacy,,,,,,,,,,,,,,pharmacy,83.9831853,28.2315512
Ayushree Ayurvedic Pharma,private,8:00-19:00,,,,,,,,,,,,pharmacy,84.0373546,28.1841641
Laxmi Medical Pharma,private,06:00-20:00,,,,,,,,,,,,pharmacy,84.0383328,28.1833221
Aagan Pharmacy,,Morning 6:00 AM-9 AM Evening 5:00 PM-9:00 PM,,,,,,,,,,,,pharmacy,83.9770118,28.2578768
Sovit Medical Hall,,"8:00-10:00, 17:00-20:00",9846041599,,,,,,,,,,,pharmacy,83.9810541,28.2586263
Ganesh Aayurveda Pharma,,,061-537773,,,,,,,,,,,pharmacy,83.9758271,28.2149714
Lumbini Medical Hall,,,,,,,,,,,,,,pharmacy,83.9748049,28.2129063
Nepali Medical Hall,,,,,,,,,,,,,,pharmacy,83.9756939,28.212588
Mohan Medico Pharma,,,,,,,,,,,,,,pharmacy,83.9780226,28.222729
Sujal Medical Hall,,7:30- 20:00,061-460312,,,,,,,,,,,pharmacy,83.9705712,28.1920465
Sheruga Medico Pharma,,8:00-21:00,9856002341,,,,,,,,,,,pharmacy,83.9758833,28.1933642
Shree Medical,,,,,,,,,,,,,,pharmacy,83.9192431,28.2654024
Subedi Phramacy,,sun-sat 6-8,,,,,,,,,,,,pharmacy,83.9012597,28.2699646
Mayor pharmacy,,7:00-20:00,9846855015,,,,,,,,,,,pharmacy,83.9674488,28.1912669
Subechha Pharmacy,private,10:00-16:00,,,,,,,,,,,,pharmacy,83.9743128,28.2059044
Bright Medical Hall,,,,,,,,,,,,,,pharmacy,83.9755172,28.1875143
Pramis Pharmacy,,,,,,,,,,,,,,pharmacy,83.9748426,28.1850556
Sifa Ayurvedic Ausadhyala,,,61460781,,,,,,,,,,,pharmacy,83.9642881,28.190171
Aavash Ayurvedic Pharma,,8:00-20:00,"98,460,727,659,846,000,000",,,,,,,,,,,pharmacy,83.9681545,28.1911302
Sahana Pharma,,7:00-20:00,98041123457,,,,,,,,,,,pharmacy,83.9705987,28.1911249
Raj Vai Pharmacy,,8:00-19:00,9856018200,,,,,,,,,,,pharmacy,83.9724172,28.1921898
National Pharmacy,,,,,,,,,,,,,,pharmacy,83.9767572,28.2249438
Mankamana Pharmacy,,7:00-19:30,9846031270,,,,,,,,,,,pharmacy,83.9530537,28.1913057
Suyogya Pharmacy,,,,,,,,,,,,,,pharmacy,83.9843124,28.2248361
Regmi Medical Hall,,,,,,,,,,,,,,pharmacy,83.9707183,28.1840245
Babina Pharmacy,,,"061-537193, 061-533193",,,,,,,,,,,pharmacy,83.9881959,28.2264309
Ramlaxman Pharmacy,,,,,,,,,,,,,,pharmacy,83.9902203,28.2262819
Aayush Pharmacy,,,,,,,,,,,,,,pharmacy,83.990362,28.2239039
Sarita Aayurveda Aushhadhalaya,,,,,,,,,,,,,,pharmacy,83.9870882,28.2292634
Arayan Pharmacy,,8:00-17:00,,,,,,,,,,,,pharmacy,83.9822817,28.197861
Indra Pharma,,,061-520525,,,,,,,,,,,pharmacy,83.9881158,28.2287076
Shining Medical Hall,,10:00 a.m. - 16:00 p.m.,,,,,,,,,,,,pharmacy,83.9892064,28.2287301
Vidhya Aayurveda Pharmacy,,,061-521562,,,,,,,,,,,pharmacy,83.988553,28.2284088
Shrestha Drug Concern,,,061-520755,,,,,,,,,,,pharmacy,83.9891385,28.2279906
Subhatar Pharmacy,,,9846030440,,,,,,,,,,,pharmacy,83.985901,28.2176641
Global Health Care,,,,,,,,,,,,,,pharmacy,83.9596599,28.2084004
Managalam Pharmacy,,Su-Sa 7:00-20:00,,,,,,,,,,,,pharmacy,83.9704686,28.1964544
Puja Medical Hall,,Su-Sa 7:00-20:00,98161970211,,,,,,,,,,,pharmacy,83.9750759,28.1975333
Swekriti Pharmacy,,24 Hrs.,"615,607,449,846,591,000",,,,,,,,,,,pharmacy,84.0811855,28.148854
Mount Annapurna Pharmacy,,,986155526,,,,,,,,,,,pharmacy,83.9724229,28.1930539
Parajuli Medical,,Su-Sa 7:00-20:00,98460300587,,,,,,,,,,,pharmacy,83.9738857,28.1955139
Dhirgau Medical Hall,,Su-Sa 07:00-20:00,061-4020237,,,,,,,,,,,pharmacy,83.9895223,28.1792795
Pulchowk Medical Hall,,,,,,,,,,,,,,pharmacy,84.0572109,28.1455371
Swornim Pharma Enterprises,,,061-520507,,,,,,,,,,,pharmacy,83.9902516,28.2237081
Srijana Medi Sales,,,,,,,,,,,,,,pharmacy,83.9905795,28.2232858
Arohan Kamana Medi Sales,,,,,,,,,,,,,,pharmacy,83.9900836,28.2222718
Nava Trisana Surgical Suppliers,,,"9856036323, 9856026678",,,,,,,,,,,pharmacy,83.9898248,28.2219895
Srijana Medical Distributors,,,"061-522633, 061-536650",,,,,,,,,,,pharmacy,83.9897763,28.2218965
Mega Medicine Distributors,,,061-531870,,,,,,,,,,,pharmacy,83.9896226,28.2216072
Sajjan Medical Hall,,,,,,,,,,,,,,pharmacy,83.9901249,28.2231408
Om Pharmacy,,,,,,,,,,,,,,pharmacy,83.9900655,28.2228159
Sudhan Pharmacy,,,"9804114219, 9860016559",,,,,,,,,,,pharmacy,84.0834814,28.1345279
Nabin Pharmacy,,,9846056836,,,,,,,,,,,pharmacy,84.0827867,28.1330957
Nidishan Medical Hall,,,,,,,,,,,,,,pharmacy,83.997001,28.2272312
Medical Hall,,,,,,,,,,,,,,pharmacy,83.9980048,28.2271307
Aafanta Pharmacy,,,9856033307,,,,,,,,,,,pharmacy,83.9993298,28.2296629
Asia Medi Sales,,,061-541696,,,,,,,,,,,pharmacy,83.9864309,28.2109858
Monal Pharmacy,,,"061-530975, 98066908471",,,,,,,,,,,pharmacy,83.9864544,28.2110012
City Pharmacy,,,"061-531199, 98462209855",,,,,,,,,,,pharmacy,83.9865478,28.2110353
GMC Pharmacy,,,,,,,,,,,,,,pharmacy,83.9865686,28.2110569
Sagarmatha Medi Distributors,,,9856024899,,,,,,,,,,,pharmacy,83.9865525,28.2110744
Tapaiko Ausadhi Pasal,,,9856033090,,,,,,,,,,,pharmacy,83.9866888,28.2112834
Asmani Pharmacy,,,"061-534745, 9856037449",,,,,,,,,,,pharmacy,83.986703,28.2112996
Somiya Pharmacy,,,061-533155,,,,,,,,,,,pharmacy,83.9868789,28.2115681
Rajan Pharmacy,,,"061-540670, 9846034728",,,,,,,,,,,pharmacy,83.9869091,28.2116005
Sakushal Pharmacy,,7:00-20:00,,,,,,,,,,,,pharmacy,83.9937307,28.1846915
Kabya Pharmacy,,7:00-21:00,,,,,,,,,,,,pharmacy,83.9905895,28.1950677
Jaysan Medical,,6:30-19:30,,,,,,,,,,,,pharmacy,83.9907088,28.1952048
Saguna Pharmacy,,07:00-20:00,,,,,,,,,,,,pharmacy,83.993329,28.2013967
Banstola Medical Hall,,,,,,,,,,,,,,pharmacy,83.9362013,28.2783145
New Garima Medical Hall,,,,,,,,,,,,,,pharmacy,84.0751616,28.2139549
Shuvatara Pharmacy,,,"9846030449, 9816127253",,,,,,,,,,,pharmacy,83.9856136,28.2177531
Grand Medicine Nepal,,,061-535845,,,,,,,,,,,pharmacy,83.9857296,28.2208036
Ashmi Pharmacy,,,,,,,,,,,,,,pharmacy,83.9889592,28.2153579
Ex Army Medical Hall,,,,,,,,,,,,,,pharmacy,83.9891437,28.215884
Keshab Homeo Pharmacy,,,,,,,,,,,,,,pharmacy,83.9863127,28.2107451
Pratik Surgical Diagonostic Concern,,,,,,,,,,,,,,pharmacy,83.9861735,28.2105967
Bindabasini Surgical Solution,,,"061-5412274, 9846781917",,,,,,,,,,,pharmacy,83.9912628,28.219823
Priyanch Surgical House,,,9846286000,,,,,,,,,,,pharmacy,83.9913521,28.2204078
Dun Pharmacy,,,9846142371,,,,,,,,,,,pharmacy,83.9913832,28.2213403
Rusha Pharma Enterprises,,,061-522063,,,,,,,,,,,pharmacy,83.9913774,28.2213825
Annapurna Medico Pharma,,,,,,,,,,,,,,pharmacy,83.9913383,28.221936
Ananda Pharma,,,"061-532997, 9846155999",,,,,,,,,,,pharmacy,83.9913049,28.2221846
Kathmandu Nardevi Aayurveda Pharma,,,9869093170,,,,,,,,,,,pharmacy,83.9912338,28.222956
Care Pharmacy,,,9846287612,,,,,,,,,,,pharmacy,83.9878451,28.2118905
Swastika Medical Hall,,,061-530646,,,,,,,,,,,pharmacy,83.9877514,28.2119301
Shuvam Medical Hall,,,,,,,,,,,,,,pharmacy,83.985918,28.2097679
Ripesh Medical Hall,,,061-531086,,,,,,,,,,,pharmacy,83.9861397,28.2096061
Unesh Drug Disrtibutors,,,061-541060,,,,,,,,,,,pharmacy,83.9911436,28.2213319
Shakya Medical Concen,,,,,,,,,,,,,,pharmacy,83.9911536,28.2216457
Everest Surgical & Laboratory Concern,,,061-530482,,,,,,,,,,,pharmacy,83.9910779,28.2221603
Jana Sewa Medical Hall,,,,,,,,,,,,,,pharmacy,83.9850514,28.2091523
Himsagar Medico Pharma,,,"061- 525249, 061-527694",,,,,,,,,,,pharmacy,83.9845456,28.2085482
Amrit Kalash Pharmacy,,,061-537317,,,,,,,,,,,pharmacy,83.9838267,28.2075367
Light Pharmacy,,,9856039082,,,,,,,,,,,pharmacy,83.9826484,28.2056819
Ratna Polyclinc & Medical Centre,,,"061-551574, 9802839540",,,,,,,,,,,pharmacy,83.9834788,28.2063534
Sunrise Medico Pharma,,,,,,,,,,,,,,pharmacy,83.9843844,28.2078771
Niti Niyam Medico Pharma,,,9846193383,,,,,,,,,,,pharmacy,83.9849771,28.2083438
Sushan Pharmacy,,,,,,,,,,,,,,pharmacy,83.9858423,28.2383573
Bishal Pharmacy,,,,,,,,,,,,,,pharmacy,84.0498244,28.1777306
Sapana Medical Hall,private,10:00-20:00,984601468,,,,,,,,,,,pharmacy,84.050562,28.1769527
Monika Pharmacy,,8-Jul,9846658110,,,,,,,,,,,pharmacy,84.0495176,28.175446
Sumpurna Pharmacy,,7:00-20:00,9856034845,,,,,,,,,,,pharmacy,84.0371637,28.184802
Himalyan Medicine Shop,,,,,,,,,,,,,,pharmacy,83.9832667,28.2344796
Sankalpa Pharmacy,private,7:00-20:00,,,,,,,,,,,,pharmacy,83.9766013,28.2067994
Re Life Ayurveda Hospital,private,,,,,,,,,,,,,pharmacy,83.9790598,28.2119398
Kumari Medical Hall,,,,,,,,,,,,,,pharmacy,84.0921071,28.1152268
Balika Pharmacy,,,,,,,,,,,,,,pharmacy,84.1090808,28.1149104
Ashik Farmacy,,,,,,,,,,,,,,pharmacy,84.0934096,28.1146458
Natural Health Care,,,,,,,,,,,,,,pharmacy,84.0072611,28.2147088
Panta Pharmacy,,7:00 - 20:00,9856037315,,,,,,,,,,,pharmacy,84.0035617,28.1829521
Ashish Medical Hall,,,61430837,,,,,,,,,,,pharmacy,84.0024814,28.1847731
Palikhe Medical Pharma,,,9846066982,,,,,,,,,,,pharmacy,83.9958302,28.221252
Chirag Pharmacy Wholesale,,,,,,,,,,,,,,pharmacy,83.9971016,28.2213944
Babisha Sergisales,,,,,,,,,,,,,,pharmacy,83.9939258,28.2204751
Alisha Medical Hall,,,,,,,,,,,,,,pharmacy,84.0049584,28.2200148
Panta Pharmacy,,Sunrise-Sunset,,,,,,,,,,,,pharmacy,84.0003075,28.2185897
Advance Aausadi Pasal,,,,,,,,,,,,,,pharmacy,84.0097643,28.2135814
Shridh Medical Hall,,10:00- 16:00,,,,,,,,,,,,pharmacy,84.005754,28.2151154
Komal Pharmacy,,,,,,,,,,,,,,pharmacy,83.9927724,28.2017586
Medha Pharmacy,,,,,,,,,,,,,,pharmacy,83.9898232,28.2170625
Sai Ram Medical Hall,,,,,,,,,,,,,,pharmacy,83.9627572,28.2574119
Ashish Medical Hall,,,,,,,,,,,,,,pharmacy,83.9858061,28.2335952
Family Dental Care,,,,,,,,,,,,,,dentist,83.99110015,28.22499905
Orchid Dental and Orthodontic Centre,,,,,,,,,,,,,,dentist,83.9922619,28.22299665
Paschimanchal Dental,,,061-46654,,,,,,,,,,,dentist,83.97110028,28.1939471
Madhavi Dental Care,,,,,,,,,,,,,,dentist,83.9813485,28.2244947
Dolphin Dental Care Center,,,,,,,,,,,,,,dentist,83.9848158,28.2120516
Mata Mankamana Dental,,,,,,,,,,,,,,dentist,83.9867026,28.2181893
BB Dental Clinic,,,,,,,,,,,,,,dentist,83.9905203,28.2232981
Gandaki Dental Clinic,,,,,,,,,,,,,,dentist,83.990384,28.2233355
New Gandaki Dental Clinic,,,,,,,,,,,,,,dentist,83.9903038,28.2234123
Himal Dental Clinic,,,,,,,,,,,,,,dentist,83.9904991,28.2233016
Machhapuchre Dental,,,,,,,,,,,,,,dentist,83.9903296,28.2233447
Nice Dental Care,,,,,,,,,,,,,,dentist,83.990104,28.2232189
Paropakar Dental Care Center,,,,,,,,,,,,,,dentist,83.9901482,28.2233821
The Dental Care,,,,,,,,,,,,,,dentist,83.9907113,28.2232443
Fewa Dental Clinic,,,,,,,,,,,,,,dentist,83.9873774,28.2240161
Paschimanchal Dental Home,,09:00-16:00,,,,,,,,,,,,dentist,83.9867251,28.2113635
Brighter Dental,,,,,,,,,,,,,,dentist,83.9877172,28.239716
Global Dental Care,,,,,,,,,,,,,,dentist,83.9841123,28.2433666
Garima Dental Clinic,,,,,,,,,,,,,,dentist,84.0007321,28.2047375
Namaste Dental Care Centre,,,,,,,,,,,,,,dentist,83.9865104,28.2172837
Birauta Dental Clinic,,,,,,,,,,,,,,dentist,83.9711226,28.1924925
Shyam Dental,,,,,,,,,,,,,,dentist,83.9875687,28.2410969
Perfect Dental Care,Private,,,,,,,,,,,,,dentist,83.9860616,28.224263
Dhaulagiri Dental Home,,,,,,,,,,,,,,dentist,83.9715489,28.261074
Amarsingh Dental Clinic,,,,,,,,,,,,,,dentist,84.000609,28.2052446
Asta Dental Clinic,,,,,,,,,,,,,,dentist,83.9589115,28.2139653
Smile Care and Dential Care,,,,,,,,,,,,,,dentist,83.9896381,28.2260926
Yepolo Dental,,,,,,,,,,,,,,dentist,84.0361941,28.1845465
Pokhara Shining Health and Dental Clinic,,,,,,,,,,,,,,dentist,83.98331,28.2434484
Annapurna Dental Care,,,,,,,,,,,,,,dentist,83.9873986,28.2414278
Ghandruk Dental Care,,,,,,,,,,,,,,dentist,83.9890828,28.2443301
Poineer Dental Clinic,,,,,,,,,,,,,,dentist,83.9902884,28.2262324
Machhapuchchre Dental Clinic,,,,,,,,,,,,,,dentist,83.9994277,28.2050653
Metrocity Dental Clinic,,,,,,,,,,,,,,dentist,83.9816359,28.2117631
Star Dental Clinic,,,,,,,,,,,,,,dentist,83.9668056,28.2115133
32 Dental Care,,,,,,,,,,,,,,dentist,84.0568323,28.1627722
Nice Dental Care Centre,,,,,,,,,,,,,,dentist,83.9900333,28.2262877
Amrit Dental Clinic,,,,,,,,,yes,,,,,dentist,84.0683891,28.1636815
Bindabasini Dental Care,,Su-Fr 10:00-17:00,,,,,,,,,,,,dentist,83.9703117,28.1919605
