name,operator_type,opening_hours,phone_number,email_address,number_of_employees,number_of_students,comments,type,lat,long
Shimala Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846226250,,3,57,,school,28.22713216,84.04446938
Bijaya Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9815133347,,8,74,,school,28.24782344,84.03972054
Amarjyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846728183,,5,89,,school,28.22619244,84.04816441
Aarba Bijaya Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846031335,,9,144,,school,28.23985218,84.05368378
Siddhartha Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846767414,,5,74,,school,28.21928643,84.03817423
Sukraraj Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846028472,,18,304,,school,28.20587674,83.91188177
Mahendra Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-621565,mmb017@gmail.com,34,539,,school,28.24808976,84.01040566
Bhalam Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846050738,,5,81,,school,28.25132959,83.99358699
Mahendra Rastriya Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846058848,,3,30,,school,28.25481523,84.00968163
Birendra Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846046128,,4,47,,school,28.24626221,83.99930361
Kahun Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846103093,,3,116,,school,28.22703742,84.00880982
Kalika Ma V,government,10:00-16:00,61538122,,22,170,,school,28.23219068,84.01475011
Manijyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846035152,,9,65,,school,28.24420461,83.9567372
Gauri Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846513389,,3,74,,school,28.20554324,83.93717528
Lila Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856034220,,15,85,,school,28.19821445,83.94509653
Maheswori Ma Mv,government,10:00-16:00,061-621763 and 9846058197,,17,401,,school,28.1972396,83.92576067
Pokhara Darshaniyasthal Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846278015,,9,,,school,28.18903003,83.93312098
Yuba Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856041297,,4,,,school,28.19522534,83.92518224
Nagajuna Modern Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9806632745,,3,70,,school,28.22258537,84.01335829
Sharada Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846421279,,,,,school,28.2550262,83.93516574
Srijana Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846050383,,,,,school,28.24218915,83.97941188
Amar Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846031383,,8,55,,school,28.2441525,83.9244309
Jana Jagriti Ma V,government,Su-Fr 10:00-16:00,061-621543,,17,336,,school,28.24032611,83.94121325
Divya Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846333450,,6,303,,school,28.28054828,83.9277407
Gram Prakash Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846267768,,8,333,,school,28.27830308,83.93888554
Hemja Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-401338,,35,1147,,school,28.27574536,83.93819504
Snow View Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,27,1129,,school,28.2679369,83.94920138
Ambika Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856023399,,15,410,,school,28.28746566,83.899248
Jana Chetana Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846034945,,3,20,,school,28.2559506,84.01614313
Dhune Sangu English Bording School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,23,590,,school,28.17751724,83.98968134
Janaki Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846292185,,11,285,,school,28.17694957,83.99101385
New Millenium Academy,private,Su- Fr 9:50- 15:45,61463328,newmillenniumacademy@yahoo.com,22,781,,school,28.19271013,83.97509167
Pokhara Kindergarden English Boarding School,private,Su-Fr 09:30-04:00,,,81,765,,school,28.1938079,83.97940118
Shanti Nikunj English School,private,10:00-17:00,,,22,308,,school,28.19371565,83.973721
Shishu Kalyan Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-696647  9846144237,shishukalyan636647@gmail.com,17,324,,school,28.15501205,84.0258002
Sarswoti Tika Ma V,government,Su-Th 06:00-18:00  Fr 06:00-16:00,061-622693,lalbhandari0985@gmail.com,37,1568,,school,28.144936,84.04445529
Shanti Udaya Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9756000022,,21,427,,school,28.13443055,84.03090773
Shree Jana Chetan Ma V,government,10:00-16:00,9746008018,,19,489,,school,28.15185928,83.99892014
Phekuwako Nirmal Pokhari English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,6.16224399756E+027,bkhimal@gmail.com,24,458,,school,28.15661757,83.99148179
Jaldevi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846139539,,4,46,,school,28.14209797,83.99207285
Jana Jagarti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846031651,,9,133,,school,28.15902572,83.98350167
Ram Rudra Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9843481952,,3,23,,school,28.16074849,83.97329369
Shree Hill Side English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,19,482,,school,28.15565047,83.98836358
Ramadi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846281930,,4,56,,school,28.17465635,83.9369002
Paschimanchal Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,6.15403330615274E+016,,,416,,school,28.22654642,83.98999296
Yuwabarsa Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846381154,,7,72,,school,28.18353053,83.94979024
New Social English School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.1680254,83.95748603
Bayeli Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856033504,,6,94,,school,28.1724769,83.95685509
Himalaya Basic School,government,10:00-16:00,9846147431,,3,68,,school,28.16020776,83.94991936
Bhabisya Nirman Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856011227,,23,780,,school,28.15647889,83.95415287
Sai Ratna Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846039408,,9,209,,school,28.1568905,83.95261293
Bakrek Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,986136859,,4,53,,school,28.1413465,83.93964
Ex Army English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-460706,eaphss123@gmail.com,30,1016,,school,28.18678349,83.96142109
OM Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-460020/061-460021,omacademy@gmail.com,10,175,,school,28.19069499,83.95271661
Pokhara Spiral Galaxy Academy,private,Su- Fr 9:30-15:30,061-461201,spiralpokhara@gmail.com,25,465,,school,28.18854277,83.96497537
LA Higher Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.21444728,83.98640955
Gandaki Education Foundation,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,12,161,,school,28.21465486,83.9909075
Bidhya Niketan English Bording School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856031406,,32,828,,school,28.18322549,83.97476609
West Point Children Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-466777 061-415188,nabin.baral974@gmail.com,7,113,,school,28.1859878,83.96979745
Little Bells School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-531516  9846109878,,,,,school,28.22634903,83.97901755
Phewa Public Secondary Higher School,private,10:00-17:00,061-536144,,,,,school,28.22860108,83.98303205
Shree Maharsi Gurukul Bed Bidhyalaye,government,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.23089528,83.99245695
Maharsi Gurukul Bidhyabasani,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856035584,,6,34,,school,28.23764443,83.98366883
Pokhara Combridge English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856026106,,18,418,,school,28.20992485,83.96527953
Goodwill Activity School,private,10:00-16:00,061-461863,,25,636,,school,28.21010054,83.963989
Emmanuel English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-530207,,15,323,,school,28.20543895,83.9815479
Holi Angel School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846001898,,13,487,,school,28.2047053,83.98636198
Mount Heaven English Boarding school,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-694836,,10,196,,school,28.19761268,83.9814205
National Creation Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-537865,,20,430,,school,28.20422385,83.98043478
Wisdom English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-467100,,16,472,,school,28.21092442,83.9673555
Peace Zone Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.21458655,83.98071098
Maitree Children's Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-524085,,14,151,,school,28.22046719,83.99086504
Lekhnath Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846147538,,5,70,,school,28.19408352,84.07768416
Golden Nature Secondary School,private,Mo-Fr 10:00-16:00,061-560635,,38,1228,,school,28.14827144,84.08189489
Chisakhola Bed Bidhya Ashram,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856035152,p.chisakhola.veda@gmail.com,7,157,,school,28.23396869,83.97372831
Gyanjyoti Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846030100,,14,267,,school,28.28983988,83.98578518
Pemachal Shakya Monastic Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804190027,,10,191,,school,28.2570343,83.96120796
Sanskrti Ma V,government,10:00 - 16:00,061-520434,,16,403,,school,28.24343011,83.99039219
Birendra Memorial English School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061 419030,,24,498,,school,28.22565368,83.97497324
Janapriya Ma V,government,Su-Fr 09:00-17:00,061-533726,,40,,,school,28.20729955,83.9766782
Harvard Academy,private,10:00-16:00,,,16,520,,school,28.19273752,83.99740901
Disneyland Academy,private,10:00-17:00,,,30,699,,school,28.20833177,83.97032164
Bal Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805812137,,4,73,,school,28.1531919,83.94076918
Laxmi Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,61411607,,28,1516,,school,28.18027998,84.04611483
Red Gold Academy,private,Su-Fr 10:00-16:00,9856021380,,,,,school,28.16181175,84.08766478
Siddha Baraha Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846184718,,6,196,,school,28.24866115,83.87468115
Sidhane Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9803178513,,2,47,,school,28.22392937,83.82585258
Harpankot Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9815144185,,11,140,,school,28.23875089,83.83808677
Pipaldali Deurali Basic School,government,Su-Fr 10:00-16:00,9846262990,,4,82,,school,28.23448369,83.860996
Future Bright English School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846036879,futurebright22948@gamil.com,5,85,,school,28.23932293,83.86342003
Siddhabaraha Ma V,government,Su-Fr 10:00-16:00,61622190,,23,1028,,school,28.24582866,83.87914196
Saraswati Kunja Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846037721,,5,125,,school,28.24647964,83.89040479
Little Daffodils English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61691901,,14,284,,school,28.23556156,83.90901555
Sunrise Preparatory English Baording School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9846068940,,15,315,,school,28.24286113,83.89128677
Pame Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846029801,,12,145,,school,28.23620026,83.91000586
Reliance Public Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.2109694,84.10422993
Gyankunja Vidhyasharam,private,Su-Fr 10:00-16:00,016-560947,,20,579,,school,28.15817005,84.09218555
Dhara Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846731494,,9,126,,school,28.30090394,83.95791844
Kalika Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856036444,,15,519,,school,28.26672069,83.91429784
Matribhumi Jana Prakash Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856033987,,5,45,,school,28.27328884,83.89763764
Bal Prabhodhini Primary School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9806697438,,6,74,,school,28.25815577,83.92884728
Bishwojyoti English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,12,130,,school,28.26592476,83.91246262
Basanta Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846111820,,5,168,,school,28.26632563,83.90710926
Sadashiva Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9847638527,,6,128,,school,28.27130417,83.89298386
Triveny Public Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-560497,trivenypublic@yahoo.com,4,1013,,school,28.1729904,84.04721802
Alpha Academy,private,10:00-16:00,6141115,alphaadecamy@gmail.com,7,336,,school,28.18682698,84.034985
Amarjyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804133026,,3,101,,school,28.18710495,84.04256738
Shiva Shakti Basic School,government,10:00-17:00,9846198857,,11,315,,school,28.20812194,84.03596551
Amar Jyoti Gaun Pharka Ma V,government,10:00-04:00,986061708,,18,540,,school,28.20243388,84.04325593
Arunodaya Jyotii Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846364655,,2,23,,school,28.20265549,84.05748253
New Era Academy Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61560177,meahsskaski@gmail.com,27,629,,school,28.18072747,84.04768416
Srijana Bahira Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,061-560466/532615,,23,352,,school,28.1795406,84.04970147
Sahid Smark Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9843206815,,5,146,,school,28.13349805,84.08366118
Bmg English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9840603759,,36,965,,school,28.13402348,84.08228248
Nawa Durga Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846193540,,5,168,,school,28.14031179,84.07449847
Siddhi Binayak English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61560656,,18,787,,school,28.15195022,84.06702497
Holi Mount English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-561700  9817147100,,23,674,,school,28.15079584,84.06976519
Gogan Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846044024,,72,1967,,school,28.12109627,84.09075647
Little Flower English Boarding School,private,10:00-17:00,61560278,,32,869,,school,28.16227962,84.04209458
Bir Aadharbhut School,government,10:00-17:00,9846059421,,11,306,,school,28.16011632,84.04315204
Kalyan Basic School,government,10:00-17:00,9846032986,,5,122,,school,28.1646229,84.05027934
Kanchanjangha Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-560270,kac.kaski@gmail.com,21,477,,school,28.16556724,84.06679481
New Lekhnath Public Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-561632,,30,817,,school,28.16665878,84.06955741
New Light Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-560040,,38,1031,,school,28.16288045,84.06950346
Shanti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846261468,,9,267,,school,28.16388329,84.06966889
Siddha Ganesh Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846163473,,6,77,,school,28.12445008,84.1118387
Shree Bhulbhula Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805158872,,10,147,,school,28.08972125,84.07121058
Indrayani Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846330061,,4,45,,school,28.19066476,84.08614789
Sukla Gandaki Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846651933,,8,137,,school,28.12586616,84.08063506
Kalika Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846040666,,,134,,school,28.12182077,84.06849677
Chandi Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9.84665947398058E+019,,14,252,,school,28.11627492,84.04132945
Gyan Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846014520,,3,41,,school,28.12938368,84.04336583
Brahmajyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,984613096,,8,69,,school,28.1384321,84.02100195
Shanti Batika English School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,18,611,,school,28.13162494,84.09701999
Universe English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,29,916,,school,28.12385666,84.10195044
Baghmara Academy Garden,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856038945 061-691846,,19,468,,school,28.14730452,84.04170864
Morning Glory English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,gloryacademy150@gmail.com,19,593,,school,28.1463642,84.04314735
Jana Jyoti Basic Shool,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846037863,,7,102,,school,28.13561014,84.06019712
Chiragadi English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9.85607190998464E+019,,18,345,,school,28.13629353,84.05720035
Arun Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846364293,,4,82,,school,28.16674294,84.11716411
Diamond Model School,private,Su-Fr 10:00-16:00,061-560643,,25,988,,school,28.16583403,84.08723043
Ananda Jyoti Ma V,government,10:00-16:00,9746006244,,18,442,,school,28.18512209,84.12464062
Bishwo Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846380185,,6,101,,school,28.18828728,84.11457554
Jaldhar Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9815129215,,4,59,,school,28.18575469,84.10396205
Padma Jyoti English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9804142939,,8,126,,school,28.18134563,84.12380593
Shiva Shakti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846213562,,3,53,,school,28.18029145,84.13774572
Chandra Jyoti Basic school,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846060175,,7,205,,school,28.1144439,84.11502068
Himalaya Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846042962,,10,400,,school,28.11262335,84.09604733
Amarsiddha Namuna Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,98456011234,,23,593,,school,28.16094771,84.09992799
Smile Small Heaven Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9856037215,,19,562,,school,28.12182023,84.10185075
Brahma Rupa Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846060864,,28,1108,,school,28.11946486,84.10320574
Gurukul Bidyashram,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-561208,,6,813,,school,28.13303807,84.08439003
Kabishiromani Lekhanath Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,98463481133,,4,70,,school,28.1969506,84.07038088
Tarun Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846207520,,3,46,,school,28.18692353,84.06533485
Kalika Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846398118,,10,280,,school,28.09954454,84.08476132
Highway Garden English Boarding School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-560711,,23,681,,school,28.11561975,84.09275363
Gyanjyoti Vidyakung Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856030670,,627,627,,school,28.12006808,84.09037833
Janasiddha Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846857556,,9,90,,school,28.25212078,83.86048179
Bindeshwori Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846059841,,16,331,,school,28.30836943,83.96105561
Ushakiran Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856031664,,5,46,,school,28.21332808,84.0807372
Siddha Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805872567,,4,64,,school,28.21372043,84.0635279
Durga Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804135914,,9,87,,school,28.21945432,83.87608263
Pancha Koshi Basic school,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9806600289,,8,85,,school,28.23566555,83.87419639
Chapakot Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846412246,,4,111,,school,28.23069488,83.88580669
Phewa Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846524260,,3,64,,school,28.22265514,83.91481671
Bhagwati Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804125762,,4,148,,school,28.20940528,83.91081591
Anadu Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856034420,,3,39,,school,28.20724829,83.94280571
Saraswati Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856037237,,3,42,,school,28.21172618,83.92500369
Okhledanda Bhumdikot Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846051392,,19,294,,school,28.20891834,83.89461004
Setu Barahi Basic School,government,Su-Fr 10:00-16:00,9804171162,,4,54,,school,28.25291174,83.87021291
Janmabhumi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804134389,,3,69,,school,28.23887417,83.88865857
Laxmi Adarsha Ma V,government,10:00-4:00,061-560019,laxmiadarsha25@gmail.com,28,2369,,school,28.16999709,84.06288154
Siddha Baraha Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846483924,,8,317,,school,28.26371001,83.89814418
Ratana Shobha Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846223619,,20,677,,school,28.20436367,84.11161902
Saraswati Kunja Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846218832,,3,47,,school,28.19975199,84.11708651
Bhurtel Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,98462246241,,7,51,,school,28.20604515,84.09574899
Shiva Kiran Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846613136,,4,61,,school,28.21027144,84.10629457
Nobel Secondary School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,61528061,,19,603,,school,28.21564686,83.9974045
Bal Prativa Boarding School,private,Su-Fr 10:00-16:00,9806563900,,12,300,,school,28.24006315,83.94234418
Shree Byas Bidhyashram English School,private,Su-Fr 10:00-16:00,,,,,,school,28.26574633,83.9655011
Mahendra Ma V,government,Su-Fr 10:00-16:00,9846083779,,14,193,,school,28.27480271,83.96821952
Nepal Aadarsha Awasiya Vidhyalaya,private,10:00-16:00,061-560260,,43,1247,,school,28.15171621,84.06005456
Gyanudaye Raghu Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846063625,,3,43,,school,28.25710305,84.02815107
Emmanuel School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061 693799  9746133465  9746133466,,,,,school,28.18361112,83.99040534
Bhumeshwor Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846041889,,8,100,,school,28.28196762,83.96416213
Mount Kailash School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,9805857015,,9,178,,school,28.26203273,83.95654481
Gaurishankar Basic School,government,Su-Fr 10:00-16:00,9846046619,,7,137,,school,28.27684988,83.93353372
Gyansarobar Academy,private,Su-Fr 10:00-16:00,061-400183,,16,364,,school,28.28059606,83.93190843
Himilya Basic School,government,Su-Fr 10:00-15:00,9806573264,,5,53,,school,28.29501593,83.9260693
SOS Hermann Gmeiner School Chhorepatan Pokhara,donor,Su-Th 10:00-16:00  Fr 10:00-13:00,,info@sosnepal.org.np,,342,,school,28.18891006,83.956573
Pinnacle Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,061-524362,pinnacle.academy27@gmail.com,,,,school,28.22744033,83.9942926
Kalika Basic School,government,Su-Fr 10:00-16:00,984614604,,1,93,,school,28.18497875,83.9175392
Edens Academy,private,Su-Fr 09:00-16:00,61521687,edensacademy1@gmail.com,17,401,,school,28.21635684,84.01139812
Bidya Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846046128,,11,147,,school,28.2494027,83.98571375
Narayani Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846153493,,13,60,,school,28.2733346,83.99723525
Sita Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9806720977,,5,55,,school,28.27555221,84.01509289
Nirmala Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846046872,,6,73,,school,28.28114376,84.0084562
Harisiddhi Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846000028,,,,,school,28.29060658,83.97801579
Jhuprangkot Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856029075,,5,45,,school,28.29784603,83.98247037
Brabhat Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846047967,,5,153,,school,28.22824971,83.94740413
Gyatri Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846265283,,4,26,,school,28.27482917,83.97412864
Jana Jyoti Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846257382,,3,97,,school,28.16968213,83.98486416
Balbidhyashram Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846773164,,6,64,,school,28.14291187,84.0106039
Ballkalyan Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,98141444902,,4,119,,school,28.17436251,83.96849781
Fewa Seconday Boarding School,private,10:00-16:00,9856036297,,17,482,,school,28.2143012,83.9581541
Buds Education Foundation,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,18,578,,school,28.2137418,83.9610386
Bindheswory School,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,24,646,,school,28.2359045,83.9856705
Sakar Academy,private,Su-Th 10:00-16:00  Fr 10:00-13:00,,,,,,school,28.2008131,83.9713961
Jana Kalyan Boarding School,private,Su-Fr 10:00-16:00,9846042783,,6,100,,school,28.2457171,83.8776322
SOS Children's Village,doner,Su-Th 10:00-16:00  Fr 10:00-13:00,-459530,cv.pokhara@sosnepal.org.np,33,435,,school,28.1868009,83.9570404
Dhuwarkot Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9817164137,,3,31,,school,28.1453302,83.9323208
Gupteshwor Mahadev Bed Bigyan Pathsala,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9804108651,,5,20,,school,28.1893033,83.9575608
Janata Basic school,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846311951,janataprimary.armala@gmail.com,5,87,,school,28.2889448,83.9960935
Shiveshwori Basic school,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9805845088,,4,97,,school,28.2994309,83.966439
Bijaya Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846067721,,6,103,,school,28.2550595,83.9068002
Sita Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9856033338,,5,83,,school,28.2709151,84.0365257
Himalaya Ma V,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846054151,,15,314,,school,28.271816,84.0422078
Saraswati Birmaya Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9846049015,,6,59,,school,28.2690621,84.0500913
Bhagawati Basic School,government,Su-Th 10:00-16:00  Fr 10:00-13:00,9806502738,,6,53,,school,28.1105888,84.0736196
