FID,the_geom,NQID,HFNAME,DISTRICT,VDC,WARD,LATITUDE,LONGITUDE,ALTITUDE,TYPE,EZONE,MAJROTYP,REGION
new_HF.1416,POINT (84.91 28.19),11037,Kashigaun Sub Health Post,gorkha,KASHIGAUN,0,28.19,84.91,0,Health Post,Hill,SHP,Western
new_HF.1417,POINT (84.6 28.14),11038,Kerabari SHP,gorkha,KERABARI,0,28.14,84.6,1244,Health Post,Hill,SHP,Western
new_HF.1418,POINT (84.91 28.23),11039,Kerauja HP (Manbu),gorkha,KERAUJA,0,28.23,84.91,1023,Health Post,Hill,HP,Western
new_HF.1419,POINT (84.65 28.2),11040,Kharibot SHP,gorkha,KHARIBOT,0,28.2,84.65,1516,Health Post,Hill,SHP,Western
new_HF.1420,POINT (84.56 28.03),11041,Khoplang SHP,gorkha,KHOPLANG,0,28.03,84.56,629,Health Post,Hill,SHP,Western
new_HF.1421,POINT (84.8 28.22),11042,Laprak SHP,gorkha,LAPRAK,0,28.22,84.8,2090,Health Post,Hill,SHP,Western
new_HF.1422,POINT (84.88 28.18),11043,Lapu SHP,gorkha,LAPU,0,28.18,84.88,801,Health Post,Hill,SHP,Western
new_HF.1423,POINT (84.7 28.57),11044,Lho Sub Health Post,gorkha,LHO,0,28.57,84.7,0,Health Post,Hill,SHP,Western
new_HF.1424,POINT (84.67 27.89),11045,Makaising PHC,gorkha,MAKAISING,0,27.89,84.67,1153,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1425,POINT (84.57 27.89),11046,Manakamana SHP,gorkha,MANAKAMANA,0,27.89,84.57,919,Health Post,Hill,SHP,Western
new_HF.1426,POINT (84.89 28.15),11047,Kerauja Health Post,gorkha,MANBU,0,28.15,84.89,0,Health Post,Hill,HP,Western
new_HF.1427,POINT (84.73 28.04),11048,Khanchowk HP,gorkha,MASEL,0,28.04,84.73,994,Health Post,Hill,HP,Western
new_HF.1428,POINT (84.66 28.13),11049,Muchhok SHP,gorkha,MUCHHOK,0,28.13,84.66,1297,Health Post,Hill,SHP,Western
new_HF.1429,POINT (84.7 27.94),11050,Namjung SHP,gorkha,NAMJUNG,0,27.94,84.7,1016,Health Post,Hill,SHP,Western
new_HF.1430,POINT (84.63 28.02),11051,Nareshwor SHP,gorkha,NARESHWOR,0,28.02,84.63,1005,Health Post,Hill,SHP,Western
new_HF.1431,POINT (84.52 28.04),11052,Baddanda HP,gorkha,PALUMTAR,0,28.04,84.52,850,Health Post,Hill,HP,Western
new_HF.1432,POINT (84.74 28.07),11053,Panchkhuwa Deurali SHP,gorkha,PANCHKHUWA DEURALI,0,28.07,84.74,1150,Health Post,Hill,SHP,Western
new_HF.1433,POINT (84.71 28.07),11054,Pandrung SHP,gorkha,PANDRUNG,0,28.07,84.71,1224,Health Post,Hill,SHP,Western
new_HF.1434,POINT (84.63 27.99),11055,Gorkha Hospital,gorkha,PRITHBINARAYAN MUNICIPALITY,0,27.99,84.63,1055,District Hospital,Hill,Government hospital,Western
new_HF.1435,POINT (84.56 27.97),11056,Taranagar SHP,gorkha,PRITHBINARAYAN MUNICIPALITY,0,27.97,84.56,413,Health Post,Hill,SHP,Western
new_HF.1436,POINT (84.64 27.98),11057,Raniswara SHP,gorkha,PRITHBINARAYAN MUNICIPALITY,0,27.98,84.64,1063,Health Post,Hill,SHP,Western
new_HF.1437,POINT (84.58 27.98),11058,Prem Memorial Hospital and Research Centre,gorkha,PRITHBINARAYAN MUNICIPALITY,0,27.98,84.58,476,Community Hospital (Cooperative),Hill,Non-government hospital,Western
new_HF.1438,POINT (84.63 28),11059,Aama-baa Hospital & Research Centre,gorkha,PRITHBINARAYAN MUNICIPALITY,0,28,84.63,1105,Private Hospital,Hill,Private hospital,Western
new_HF.1439,POINT (84.63 27.99),11060,Marie Stopes Centre,gorkha,PRITHBINARAYAN MUNICIPALITY,0,27.99,84.63,1020,Other non-governmental,Hill,Other HFs,Western
new_HF.1440,POINT (84.77 28.54),11061,Larkebazar Health Post,gorkha,PROK,0,28.54,84.77,0,Health Post,Hill,HP,Western
new_HF.1441,POINT (84.65 28.58),11062,Samagaun Sub Health Post,gorkha,SAMAGAUN,0,28.58,84.65,0,Health Post,Hill,SHP,Western
new_HF.1442,POINT (84.72 28.12),11063,Saurpani SHP,gorkha,SAURPANI,0,28.12,84.72,1306,Health Post,Hill,SHP,Western
new_HF.1443,POINT (84.64 28.1),11064,Shreenathkot SHP,gorkha,SHREENATHKOT,0,28.1,84.64,1261,Health Post,Hill,SHP,Western
new_HF.1444,POINT (84.68 28.16),11065,Simjung SHP,gorkha,SIMJUNG,0,28.16,84.68,1187,Health Post,Hill,SHP,Western
new_HF.1445,POINT (84.9 28.39),11066,Sirdibas SHP,gorkha,SIRDIBAS,0,28.39,84.9,1620,Health Post,Hill,SHP,Western
new_HF.1446,POINT (84.74 28.11),11067,Swara SHP,gorkha,SWARA,0,28.11,84.74,1387,Health Post,Hill,SHP,Western
new_HF.1447,POINT (84.63 27.9),11068,Taklung SHP,gorkha,TAKLUNG,0,27.9,84.63,1155,Health Post,Hill,SHP,Western
new_HF.1448,POINT (84.7 28.08),11069,Takukot SHP,gorkha,TAKUKOT,0,28.08,84.7,1171,Health Post,Hill,SHP,Western
new_HF.1449,POINT (84.68 28.1),11070,Takumajhalakuri HP,gorkha,TAKUMAJHA LAKURIBOT,0,28.1,84.68,789,Health Post,Hill,HP,Western
new_HF.1450,POINT (84.78 28.03),11071,Tandrang SHP,gorkha,TANDRANG,0,28.03,84.78,895,Health Post,Hill,SHP,Western
new_HF.1451,POINT (84.69 27.88),11072,Tanglichok SHP,gorkha,TANGLICHOK,0,27.88,84.69,1328,Health Post,Hill,SHP,Western
new_HF.1452,POINT (84.68 28.02),11073,Taple SHP,gorkha,TAPLE,0,28.02,84.68,1106,Health Post,Hill,SHP,Western
new_HF.1453,POINT (84.57 28.11),11074,Thalajung SHP,gorkha,THALAJUNG,0,28.11,84.57,1390,Health Post,Hill,SHP,Western
new_HF.1454,POINT (84.82 28.11),11075,Thumi SHP,gorkha,THUMI,0,28.11,84.82,1214,Health Post,Hill,SHP,Western
new_HF.1455,POINT (84.88 28.28),11076,Uhiya SHP,gorkha,UHYA,0,28.28,84.88,1938,Health Post,Hill,SHP,Western
new_HF.1456,POINT (84.75 28.2),11077,Warpak SHP,gorkha,WARPAK,0,28.2,84.75,1916,Health Post,Hill,SHP,Western
new_HF.1457,POINT (83.25 28.07),1025,"Tamghas Hospital, Gulmi",gulmi,THULOLUMPEK,4,28.07,83.25,1499,District Hospital,Hill,Government hospital,Western
new_HF.1458,POINT (83.15 28.12),2052,Dhurkot PHC,gulmi,DHURKOT RAJASTHAL,5,28.12,83.15,1443,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1459,POINT (83.44 28.02),2053,Johang PHC,gulmi,JOHANG,5,28.02,83.44,630,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1460,POINT (83.14 28.09),4175,Pipaldhara HP,gulmi,PIPALDHARA,8,28.09,83.14,1562,Health Post,Hill,HP,Western
new_HF.1461,POINT (83.11 28.1),4180,Hadahade SHP,gulmi,HADAHADE,2,28.1,83.11,1559,Health Post,Hill,SHP,Western
new_HF.1462,POINT (83.44 28),4181,Reemuwa SHP,gulmi,REEMUWA,6,28,83.44,1078,Health Post,Hill,SHP,Western
new_HF.1463,POINT (83.52 28.09),4182,Bhurtung HP,gulmi,BHURTUNG,5,28.09,83.52,1283,Health Post,Hill,HP,Western
new_HF.1464,POINT (83.32 28.08),4183,Balithum SHP,gulmi,BALITHUM,1,28.08,83.32,1348,Health Post,Hill,SHP,Western
new_HF.1465,POINT (83.07 28.2),4184,Malagiri SHP,gulmi,MALAGIRI,8,28.2,83.07,1882,Health Post,Hill,SHP,Western
new_HF.1466,POINT (83.18 28.1),4185,Jaisithok SHP,gulmi,JAISITHOK,5,28.1,83.18,1292,Health Post,Hill,SHP,Western
new_HF.1467,POINT (83.35 28.03),4186,Pallikot SHP,gulmi,PALLIKOT,9,28.03,83.35,1281,Health Post,Hill,SHP,Western
new_HF.1468,POINT (83.38 28.03),4187,Hunga HP,gulmi,HUNGA,1,28.03,83.38,1380,Health Post,Hill,HP,Western
new_HF.1469,POINT (83.16 28.16),4188,Amarpur SHP,gulmi,AMARPUR,6,28.16,83.16,1312,Health Post,Hill,SHP,Western
new_HF.1470,POINT (83.29 28.18),4189,Kurgha HP,gulmi,WAMITAKSAR,2,28.18,83.29,828,Health Post,Hill,HP,Western
new_HF.1471,POINT (83.33 27.96),4190,Kharjyang HP,gulmi,KHARJYANG,2,27.96,83.33,1046,Health Post,Hill,SHP,Western
new_HF.1472,POINT (83.03 28.22),11376,Aaglung SHP,gulmi,AAGLUNG,0,28.22,83.03,1712,Health Post,Hill,SHP,Western
new_HF.1473,POINT (83.3 27.98),11377,Amararbathok SHP,gulmi,AMARARBATHOK,0,27.98,83.3,1114,Health Post,Hill,SHP,Western
new_HF.1474,POINT (83.16 28.16),11378,Amarpur SHP,gulmi,AMARPUR,0,28.16,83.16,1312,Health Post,Hill,SHP,Western
new_HF.1475,POINT (83.34 28.11),11379,Apchaur SHP,gulmi,APCHAUR,0,28.11,83.34,1118,Health Post,Hill,SHP,Western
new_HF.1476,POINT (83.32 28.12),11380,Community Clinic and Public Health Centre,gulmi,APCHAUR,0,28.12,83.32,661,Other non-governmental,Hill,Other HFs,Western
new_HF.1477,POINT (83.6 28.01),11381,Arbenee SHP,gulmi,ARBANI,0,28.01,83.6,783,Health Post,Hill,SHP,Western
new_HF.1478,POINT (83.18 28.19),11382,Arjee SHP,gulmi,ARJE,0,28.19,83.18,1498,Health Post,Hill,SHP,Western
new_HF.1479,POINT (83.21 28.08),11383,Arkhale SHP,gulmi,ARKHALE,0,28.08,83.21,1487,Health Post,Hill,SHP,Western
new_HF.1480,POINT (83.12 28.22),11384,Arkhawang SHP,gulmi,ARKHAWANG,0,28.22,83.12,1886,Health Post,Hill,SHP,Western
new_HF.1481,POINT (83.35 28.19),11385,Arlangkot SHP,gulmi,ARLANGKOT,0,28.19,83.35,964,Health Post,Hill,SHP,Western
new_HF.1482,POINT (83.48 27.99),11386,Aslewa HP,gulmi,ASLEWA,0,27.99,83.48,620,Health Post,Hill,HP,Western
new_HF.1483,POINT (83.28 28.15),11387,Badagaun HP,gulmi,BADAGAUN,0,28.15,83.28,1447,Health Post,Hill,HP,Western
new_HF.1484,POINT (83.07 28.2),11388,Bajkateri SHP,gulmi,BAJHKETERIA,0,28.2,83.07,1882,Health Post,Hill,SHP,Western
new_HF.1485,POINT (83.39 27.99),11389,Baletaksar SHP,gulmi,BALETAKSAR,0,27.99,83.39,1456,Health Post,Hill,SHP,Western
new_HF.1486,POINT (83.32 28.08),11390,Balithum SHP,gulmi,BALITHUM,0,28.08,83.32,1348,Health Post,Hill,SHP,Western
new_HF.1488,POINT (83.44 28.07),11392,Bharse HP,gulmi,BHARSE,0,28.07,83.44,1630,Health Post,Hill,HP,Western
new_HF.1489,POINT (83.52 28.09),11393,Bhurtung HP,gulmi,BHURTUNG,0,28.09,83.52,1283,Health Post,Hill,HP,Western
new_HF.1490,POINT (83.33 28.02),11394,Birbas SHP,gulmi,BIRBAS,0,28.02,83.33,1508,Health Post,Hill,SHP,Western
new_HF.1491,POINT (83.39 28.13),11395,Bisukharka SHP,gulmi,BISUKHARKA,0,28.13,83.39,1612,Health Post,Hill,SHP,Western
new_HF.1492,POINT (83.16 28.22),11396,Chhapahile SHP,gulmi,CHHAPAHILE,0,28.22,83.16,1758,Health Post,Hill,SHP,Western
new_HF.1493,POINT (83.22 28.15),11397,Darlamchaur SHP,gulmi,DALAMCHAUR,0,28.15,83.22,1324,Health Post,Hill,SHP,Western
new_HF.1494,POINT (83.28 28.01),11398,Darbar Devisthan SHP,gulmi,DARBAR DEVISTHAN,0,28.01,83.28,1422,Health Post,Hill,SHP,Western
new_HF.1495,POINT (83.16 28.24),11399,Darling SHP,gulmi,DARLING,0,28.24,83.16,1742,Health Post,Hill,SHP,Western
new_HF.1496,POINT (83.31 27.94),11400,Daungha SHP,gulmi,DAUNGHA,0,27.94,83.31,1213,Health Post,Hill,SHP,Western
new_HF.1497,POINT (83.16 28.19),11401,Ghamir SHP,gulmi,DHAMIR,0,28.19,83.16,1651,Health Post,Hill,SHP,Western
new_HF.1498,POINT (83.16 28.11),11402,Bastu SHP,gulmi,DHURKOT BASTU,0,28.11,83.16,1314,Health Post,Hill,SHP,Western
new_HF.1499,POINT (83.11 28.13),11403,Bhanbhane SHP,gulmi,DHURKOT BHANBHANE,0,28.13,83.11,1424,Health Post,Hill,SHP,Western
new_HF.1500,POINT (83.17 28.08),11404,Nayagaun SHP,gulmi,DHURKOT NAYAGAUN,0,28.08,83.17,1384,Health Post,Hill,SHP,Western
new_HF.1501,POINT (83.15 28.12),11405,Dhurkot PHC,gulmi,DHURKOT RAJASTHAL,0,28.12,83.15,1443,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1502,POINT (83.37 28),11406,Shringa PHC,gulmi,DIGAM,0,28,83.37,1452,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1503,POINT (83.36 28.12),11407,Dirbung SHP,gulmi,DIRBUNG,0,28.12,83.36,1653,Health Post,Hill,SHP,Western
new_HF.1504,POINT (83.21 28.18),11408,Dohali SHP,gulmi,DOHALI,0,28.18,83.21,1473,Health Post,Hill,SHP,Western
new_HF.1505,POINT (83.27 28.05),11409,Dubichaur SHP,gulmi,DUBICHAUR,0,28.05,83.27,1529,Health Post,Hill,SHP,Western
new_HF.1506,POINT (83.52 28.07),11410,Foksing SHP,gulmi,FOKSING,0,28.07,83.52,1237,Health Post,Hill,SHP,Western
new_HF.1507,POINT (83.31 28.03),11411,Gaudakot SHP,gulmi,GAIDAKOT,0,28.03,83.31,1421,Health Post,Hill,SHP,Western
new_HF.1508,POINT (83.47 28.1),11412,Gwadha SHP,gulmi,GWADHA,0,28.1,83.47,1777,Health Post,Hill,SHP,Western
new_HF.1509,POINT (83.44 27.97),11413,Gwadi SHP,gulmi,GWADI,0,27.97,83.44,1135,Health Post,Hill,SHP,Western
new_HF.1510,POINT (83.11 28.1),11414,Hadahade SHP,gulmi,HADAHADE,0,28.1,83.11,1559,Health Post,Hill,SHP,Western
new_HF.1511,POINT (83.45 28.03),11415,Hansara SHP,gulmi,HANSARA,0,28.03,83.45,727,Health Post,Hill,SHP,Western
new_HF.1512,POINT (83.34 27.98),11416,Hardineta SHP,gulmi,HARDINETA,0,27.98,83.34,1206,Health Post,Hill,SHP,Western
new_HF.1513,POINT (83.43 28.1),11417,Harewa SHP,gulmi,HAREWA,0,28.1,83.43,1240,Health Post,Hill,SHP,Western
new_HF.1514,POINT (83.57 27.98),11418,Harmichaur SHP,gulmi,HARMICHAUR,0,27.98,83.57,634,Health Post,Hill,SHP,Western
new_HF.1515,POINT (83.4 28.14),11419,Harrachaur SHP,gulmi,HARRACHAUR,0,28.14,83.4,1679,Health Post,Hill,SHP,Western
new_HF.1516,POINT (83.24 28.13),11420,Hastichaur SHP,gulmi,HASTICHAUR,0,28.13,83.24,1352,Health Post,Hill,SHP,Western
new_HF.1517,POINT (83.13 28.23),11421,Hawangdi HP,gulmi,HAWANGDI,0,28.23,83.13,1603,Health Post,Hill,HP,Western
new_HF.1518,POINT (83.38 28.03),11422,Hunga SHP,gulmi,HUNGA,0,28.03,83.38,1380,Health Post,Hill,SHP,Western
new_HF.1519,POINT (83.2 28.18),11423,Ismarajasthal HP,gulmi,ISMARAJASTHAL,0,28.18,83.2,1384,Health Post,Hill,HP,Western
new_HF.1520,POINT (83.18 28.1),11424,Jaisithok SHP,gulmi,JAISITHOK,0,28.1,83.18,1292,Health Post,Hill,SHP,Western
new_HF.1521,POINT (83.56 28.03),11425,Jayakhani SHP,gulmi,JAYAKHANI,0,28.03,83.56,1189,Health Post,Hill,SHP,Western
new_HF.1522,POINT (83.44 28.02),11426,Johang PHC,gulmi,JOHANG,0,28.02,83.44,630,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1523,POINT (83.44 28.04),11427,Johang SHP,gulmi,JOHANG,0,28.04,83.44,1264,Health Post,Hill,SHP,Western
new_HF.1524,POINT (83.4 28.06),11428,Juniya SHP,gulmi,JUNIYA,0,28.06,83.4,915,Health Post,Hill,SHP,Western
new_HF.1525,POINT (83.33 28.05),11429,Juvung SHP,gulmi,JUVUNG,0,28.05,83.33,1286,Health Post,Hill,SHP,Western
new_HF.1526,POINT (83.56 28.07),11430,Khadgakot SHP,gulmi,KHADGAKOT,0,28.07,83.56,935,Health Post,Hill,SHP,Western
new_HF.1527,POINT (83.33 27.96),11431,Kharjyang HP,gulmi,KHARJYANG,0,27.96,83.33,1046,Health Post,Hill,HP,Western
new_HF.1528,POINT (83.31 28.14),11432,Kurgha SHP,gulmi,KURGHA,0,28.14,83.31,694,Health Post,Hill,SHP,Western
new_HF.1529,POINT (83.48 28.01),11433,Limgha SHP,gulmi,LIMGHA,0,28.01,83.48,1357,Health Post,Hill,SHP,Western
new_HF.1530,POINT (83.04 28.17),11434,Malagiri SHP,gulmi,MALAGIRI,0,28.17,83.04,1385,Health Post,Hill,SHP,Western
new_HF.1531,POINT (83.13 28.18),11435,Marbhung SHP,gulmi,MARBHUNG,0,28.18,83.13,1028,Health Post,Hill,SHP,Western
new_HF.1532,POINT (83.27 28.17),11436,Musikot SHP,gulmi,MUSIKOT,0,28.17,83.27,1285,Health Post,Hill,SHP,Western
new_HF.1533,POINT (83.06 28.17),11437,Myalpokhari SHP,gulmi,MYALPOKHARI,0,28.17,83.06,1742,Health Post,Hill,SHP,Western
new_HF.1534,POINT (83.18 28.24),11438,Neta SHP,gulmi,NETA,0,28.24,83.18,1598,Health Post,Hill,SHP,Western
new_HF.1535,POINT (83.35 28.03),11439,Pallikot SHP,gulmi,PALLIKOT,0,28.03,83.35,1281,Health Post,Hill,SHP,Western
new_HF.1536,POINT (83.3 28.1),11440,Paralmi SHP,gulmi,PARALMI,0,28.1,83.3,1410,Health Post,Hill,SHP,Western
new_HF.1537,POINT (83.23 28.22),11441,Paudhi SHP,gulmi,PAUCHHIAMARAYEE,0,28.22,83.23,1233,Health Post,Hill,SHP,Western
new_HF.1538,POINT (83.14 28.09),11442,Pipaldhara HP,gulmi,PIPALDHARA,0,28.09,83.14,1562,Health Post,Hill,HP,Western
new_HF.1539,POINT (83.07 28.14),11443,Purkotdaha HP,gulmi,PURKOTDAHA,0,28.14,83.07,1726,Health Post,Hill,HP,Western
new_HF.1540,POINT (83.56 28.05),11444,Purtighat SHP,gulmi,PURTIGHAT,0,28.05,83.56,579,Health Post,Hill,SHP,Western
new_HF.1541,POINT (83.44 28),11445,Reemuwa SHP,gulmi,REEMUWA,0,28,83.44,1078,Health Post,Hill,SHP,Western
new_HF.1542,POINT (83.38 28.06),11446,Rupakot SHP,gulmi,RUPAKOT,0,28.06,83.38,1132,Health Post,Hill,SHP,Western
new_HF.1543,POINT (83.44 27.94),11447,Ruru PHC,gulmi,RURU,0,27.94,83.44,490,Primary Health Care Centre,Hill,PHCC,Western
new_HF.1544,POINT (83.42 27.94),11448,Ruru SHP,gulmi,RURU,0,27.94,83.42,1012,Health Post,Hill,SHP,Western
new_HF.1545,POINT (83.44 27.94),11449,Bagmati Sewa Samaj,gulmi,RURU,0,27.94,83.44,490,Other non-governmental,Hill,Other HFs,Western
new_HF.1546,POINT (83.42 28.11),11450,Shantipur HP,gulmi,SHANTIPUR,0,28.11,83.42,1064,Health Post,Hill,HP,Western
new_HF.1547,POINT (83.25 28.04),11451,Simichaur SHP,gulmi,SIMICHAUR,0,28.04,83.25,1499,Health Post,Hill,SHP,Western
new_HF.1548,POINT (83.09 28.19),11452,Sirseni SHP,gulmi,SIRSENI,0,28.19,83.09,1440,Health Post,Hill,SHP,Western
new_HF.1549,POINT (83.25 28.07),11453,Gulmi Hospital,gulmi,TAMGHAS,0,28.07,83.25,1499,District Hospital,Hill,Government hospital,Western
new_HF.1550,POINT (83.25 28.07),11454,Tamghash Technical,gulmi,TAMGHAS,0,28.07,83.25,1466,Other non-governmental,Hill,Other HFs,Western
new_HF.1551,POINT (83.25 28.07),11455,NARCDFC,gulmi,TAMGHAS,0,28.07,83.25,1502,Other non-governmental,Hill,Other HFs,Western
new_HF.1552,POINT (83.25 28.07),11456,Tamghash VCT centre,gulmi,TAMGHAS,0,28.07,83.25,1499,Other non-governmental,Hill,Other HFs,Western
new_HF.1553,POINT (83.25 28.07),11457,Marie Stopes Center,gulmi,TAMGHAS,0,28.07,83.25,1507,Other non-governmental,Hill,Other HFs,Western
new_HF.1554,POINT (83.25 28.07),11458,Eye Hospital,gulmi,TAMGHAS,0,28.07,83.25,1511,Other non-governmental,Hill,Other HFs,Western
new_HF.1555,POINT (83.4 27.97),11459,Thanpati SHP,gulmi,THANPATI,0,27.97,83.4,1315,Health Post,Hill,SHP,Western
new_HF.1556,POINT (83.51 28),11460,Thulolumpek SHP,gulmi,THULOLUMPEK,0,28,83.51,1639,Health Post,Hill,SHP,Western
new_HF.1557,POINT (83.35 28.07),11461,Turang HP,gulmi,TURANG,0,28.07,83.35,625,Health Post,Hill,HP,Western
new_HF.1558,POINT (83.35 28.07),11462,Rudrawati Hospital,gulmi,TURANG,0,28.07,83.35,626,Private Hospital,Hill,Private hospital,Western
new_HF.1559,POINT (83.12 28.16),11463,Wagla SHP,gulmi,WAGLA,0,28.16,83.12,1464,Health Post,Hill,SHP,Western
new_HF.1560,POINT (83.29 28.18),11464,Wamitaksar HP,gulmi,WAMITAKSAR,0,28.18,83.29,828,Health Post,Hill,HP,Western
new_HF.1561,POINT (83.28 28.18),11465,Vijay Diagnostic and Health Centre,gulmi,WAMITAKSAR,0,28.18,83.28,810,Other non-governmental,Hill,Other HFs,Western
new_HF.1562,POINT (81.88 29.93),66002,Chhipra SHP,humla,CHHIPRA,4,29.93,81.88,2578,Health Post,Mountain,SHP,Mid-western
new_HF.1563,POINT (81.87 29.96),66003,Thehe HP,humla,THEHE,5,29.96,81.87,2644,Health Post,Mountain,HP,Mid-western
new_HF.1564,POINT (81.99 29.72),66004,Jair HP,humla,JAIR,1,29.72,81.99,2302,Health Post,Mountain,HP,Mid-western
new_HF.1565,POINT (81.86 29.66),66005,Shreenagar HP,humla,SHREE NAGAR,4,29.66,81.86,2147,Health Post,Mountain,HP,Mid-western
new_HF.1566,POINT (81.88 29.86),66006,Barai SHP,humla,BARAI,1,29.86,81.88,2255,Health Post,Mountain,SHP,Mid-western
new_HF.1567,POINT (81.86 29.8),66007,Sarkeedeu (Ripa) HP,humla,SARKEEDEU,9,29.8,81.86,2003,Health Post,Mountain,HP,Mid-western
new_HF.1568,POINT (81.89 29.86),66008,Lali HP,humla,LALI,5,29.86,81.89,2257,Health Post,Mountain,HP,Mid-western
new_HF.1569,POINT (81.86 29.8),66009,Maila SHP,humla,MAILA,4,29.8,81.86,2027,Health Post,Mountain,SHP,Mid-western
new_HF.1570,POINT (81.79 29.67),66010,Madana HP,humla,MADANA,6,29.67,81.79,2042,Health Post,Mountain,HP,Mid-western
new_HF.1571,POINT (81.94 29.8),66012,Rodikot HP,humla,RODIKOT,9,29.8,81.94,2711,Health Post,Mountain,HP,Mid-western
new_HF.1572,POINT (81.96 29.82),66013,Gothi HP,humla,GOTHI,8,29.82,81.96,2385,Health Post,Mountain,HP,Mid-western
new_HF.1573,POINT (82.08 29.74),66014,Mimi SHP,humla,MIMI,4,29.74,82.08,2333,Health Post,Mountain,SHP,Mid-western
new_HF.1574,POINT (82.07 29.73),66016,Darma HP,humla,DARMA,2,29.73,82.07,2266,Health Post,Mountain,HP,Mid-western
new_HF.1575,POINT (81.95 29.78),66019,Saya (Sarkegad) SHP,humla,SAYA,0,29.78,81.95,1697,Health Post,Mountain,SHP,Mid-western
new_HF.1576,POINT (81.86 29.87),66020,Raya SHP,humla,RAYA,0,29.87,81.86,2442,Health Post,Mountain,SHP,Mid-western
new_HF.1577,POINT (81.54 30.07),66021,Muchu HP,humla,MUCHU,0,30.07,81.54,2861,Health Post,Mountain,HP,Mid-western
new_HF.1578,POINT (81.62 30.06),66022,Limi SHP,humla,LIMI,0,30.06,81.62,3074,Health Post,Mountain,SHP,Mid-western
new_HF.1579,POINT (81.8 30.03),66023,Hepka HP,humla,HEPKA,0,30.03,81.8,3074,Health Post,Mountain,HP,Mid-western
new_HF.1580,POINT (82.08 29.77),66024,Shreemastha SHP,humla,SHREEMASTHA,0,29.77,82.08,2223,Health Post,Mountain,SHP,Mid-western
new_HF.1581,POINT (81.74 30.03),66027,Khagalgaun SHP,humla,KHAGALGAUN,0,30.03,81.74,2823,Health Post,Mountain,SHP,Mid-western
new_HF.1582,POINT (81.79 29.98),66028,Dandafaya HP,humla,DANDAFAYA,0,29.98,81.79,2564,Health Post,Mountain,HP,Mid-western
new_HF.1583,POINT (81.77 29.98),66029,Syada SHP,humla,SYADA,0,29.98,81.77,2809,Health Post,Mountain,SHP,Mid-western
new_HF.1584,POINT (81.88 29.93),66030,Kharpunath HP,humla,KHARPUNATH,0,29.93,81.88,9999,Health Post,Mountain,HP,Mid-western
new_HF.1585,POINT (87.74 26.96),10097,Amchok HP,Ilam,AMCHOK,0,26.96,87.74,1465,Health Post,Hill,HP,Eastern
new_HF.1586,POINT (87.68 26.88),10098,Bajho HP,Ilam,BAJHO,0,26.88,87.68,1820,Health Post,Hill,HP,Eastern
new_HF.1587,POINT (87.92 26.95),10099,Barbote SHP,Ilam,BARBOTE,0,26.95,87.92,1360,Health Post,Hill,SHP,Eastern
new_HF.1588,POINT (87.82 27.01),10100,Chameta  SHP,Ilam,CHAMETA,0,27.01,87.82,1908,Health Post,Hill,SHP,Eastern
new_HF.1589,POINT (87.91 26.83),10101,Chisapani HP,Ilam,CHISAPANI,0,26.83,87.91,622,Health Post,Hill,HP,Eastern
new_HF.1590,POINT (87.75 26.68),10102,Chulachuli SHP,Ilam,CHULACHULI,3,26.68,87.75,137,Health Post,Hill,SHP,Eastern
new_HF.1591,POINT (87.88 26.76),10103,Danabari SHP,Ilam,DANABARI,9,26.76,87.88,163,Health Post,Hill,SHP,Eastern
new_HF.1592,POINT (87.8 26.92),10104,Dhuseni SHP,Ilam,DHUSENI,9,26.92,87.8,1105,Health Post,Hill,SHP,Eastern
new_HF.1593,POINT (87.75 26.88),10105,Ebhang  SHP,Ilam,EBHANG,0,26.88,87.75,1092,Health Post,Hill,SHP,Eastern
new_HF.1594,POINT (87.78 26.95),10106,Ektappa SHP,Ilam,EKTAPPA,0,26.95,87.78,1103,Health Post,Hill,SHP,Eastern
new_HF.1595,POINT (88.1 26.79),10107,Erautar SHP,Ilam,ERAUTAR,0,26.79,88.1,804,Health Post,Hill,SHP,Eastern
new_HF.1596,POINT (87.73 26.91),10108,Gajurmukhi SHP,Ilam,GAJURMUKHI,0,26.91,87.73,1387,Health Post,Hill,SHP,Eastern
new_HF.1597,POINT (87.97 26.88),10109,Goduk SHP,Ilam,GODUK,0,26.88,87.97,1085,Health Post,Hill,SHP,Eastern
new_HF.1598,POINT (88.08 26.95),10110,Gorkhe SHP,Ilam,GORKHE,0,26.95,88.08,1317,Health Post,Hill,SHP,Eastern
new_HF.1599,POINT (87.93 26.91),10111,Ilam Hospital,Ilam,ILAM MUNICIPALITY,0,26.91,87.93,1216,District Hospital,Hill,Government hospital,Eastern
new_HF.1600,POINT (87.93 26.93),10112,Dr. Megh Bdr. Parajuli Community Hospital,Ilam,ILAM MUNICIPALITY,8,26.93,87.93,1192,Community Hospital (Cooperative),Hill,Non-government hospital,Eastern
